signal_id,application_id,vendor,score,band,reason_codes,raw_response,vendor_latency_ms,received_at
15,21,SENTINEL,368,MEDIUM,"IDENTITY_MISMATCH,DEVICE_REPUTATION,ADDRESS_MISMATCH","{""requestId"":""sen-fa8cfb91"",""score"":368,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH"",""DEVICE_REPUTATION"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",644,2026-02-02 12:34:49.394928-05:00
16,22,SENTINEL,550,MEDIUM,,"{""requestId"":""sen-98c47543"",""score"":550,""band"":""MEDIUM"",""reasonCodes"":null,""modelVersion"":""sr-4.2""}",359,2026-02-02 13:44:20.701516-05:00
17,24,SENTINEL,338,LOW,"SYNTHETIC_ID_PATTERN,IDENTITY_MISMATCH,DEVICE_REPUTATION,PHONE_CARRIER_RISK","{""requestId"":""sen-d53368a6"",""score"":338,""band"":""LOW"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""IDENTITY_MISMATCH"",""DEVICE_REPUTATION"",""PHONE_CARRIER_RISK""],""modelVersion"":""sr-4.1""}",3684,2026-02-02 16:25:38.892253-05:00
18,26,SENTINEL,122,LOW,"ADDRESS_MISMATCH,IP_PROXY,VELOCITY_APPLICANT","{""requestId"":""sen-11a25c0a"",""score"":122,""band"":""LOW"",""reasonCodes"":[""ADDRESS_MISMATCH"",""IP_PROXY"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",1563,2026-02-02 16:58:19.893071-05:00
19,27,SENTINEL,527,MEDIUM,"SYNTHETIC_ID_PATTERN,EMAIL_AGE_LOW,PHONE_CARRIER_RISK,DEVICE_REPUTATION","{""requestId"":""sen-afd9d5bb"",""score"":527,""band"":""MEDIUM"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""EMAIL_AGE_LOW"",""PHONE_CARRIER_RISK"",""DEVICE_REPUTATION""],""modelVersion"":""sr-4.2""}",598,2026-02-02 12:48:14.617604-05:00
20,30,SENTINEL,276,LOW,"DEVICE_REPUTATION,ADDRESS_MISMATCH,IDENTITY_MISMATCH,BANK_ACCOUNT_AGE","{""requestId"":""sen-8a8042d0"",""score"":276,""band"":""LOW"",""reasonCodes"":[""DEVICE_REPUTATION"",""ADDRESS_MISMATCH"",""IDENTITY_MISMATCH"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",246,2026-02-02 17:49:11.979867-05:00
21,31,SENTINEL,317,LOW,"VELOCITY_APPLICANT,IP_PROXY","{""requestId"":""sen-28b7bc82"",""score"":317,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT"",""IP_PROXY""],""modelVersion"":""sr-4.1""}",6834,2026-02-02 16:42:22.822926-05:00
22,32,SENTINEL,1,LOW,"SYNTHETIC_ID_PATTERN,BANK_ACCOUNT_AGE","{""requestId"":""sen-c6ef3633"",""score"":1,""band"":""LOW"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",1630,2026-02-02 14:00:27.513374-05:00
23,33,SENTINEL,254,LOW,"PHONE_CARRIER_RISK,VELOCITY_APPLICANT,EMAIL_AGE_LOW,IDENTITY_MISMATCH","{""requestId"":""sen-6526afe5"",""score"":254,""band"":""LOW"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""VELOCITY_APPLICANT"",""EMAIL_AGE_LOW"",""IDENTITY_MISMATCH""],""modelVersion"":""sr-4.2""}",151,2026-02-02 14:00:49.349300-05:00
24,34,SENTINEL,333,LOW,"IDENTITY_MISMATCH,IP_PROXY,VELOCITY_APPLICANT","{""requestId"":""sen-035e2997"",""score"":333,""band"":""LOW"",""reasonCodes"":[""IDENTITY_MISMATCH"",""IP_PROXY"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",136,2026-02-02 14:43:41.871021-05:00
25,35,SENTINEL,232,LOW,"EMAIL_AGE_LOW,PHONE_CARRIER_RISK","{""requestId"":""sen-a195a348"",""score"":232,""band"":""LOW"",""reasonCodes"":[""EMAIL_AGE_LOW"",""PHONE_CARRIER_RISK""],""modelVersion"":""sr-4.2""}",2613,2026-02-02 15:38:20.671951-05:00
26,37,SENTINEL,319,LOW,VELOCITY_APPLICANT,"{""requestId"":""sen-de0496ab"",""score"":319,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.1""}",668,2026-02-02 14:07:12.815447-05:00
27,38,SENTINEL,372,MEDIUM,"SYNTHETIC_ID_PATTERN,IDENTITY_MISMATCH","{""requestId"":""sen-7c3c105d"",""score"":372,""band"":""MEDIUM"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""IDENTITY_MISMATCH""],""modelVersion"":""sr-4.2""}",255,2026-02-02 14:36:54.224948-05:00
28,39,SENTINEL,319,LOW,"BANK_ACCOUNT_AGE,IDENTITY_MISMATCH,EMAIL_AGE_LOW,IP_PROXY","{""requestId"":""sen-1a738a0f"",""score"":319,""band"":""LOW"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""IDENTITY_MISMATCH"",""EMAIL_AGE_LOW"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",244,2026-02-02 14:45:58.497542-05:00
29,40,SENTINEL,613,MEDIUM,"BANK_ACCOUNT_AGE,IP_PROXY,ADDRESS_MISMATCH,DEVICE_REPUTATION","{""requestId"":""sen-b8ab03c0"",""score"":613,""band"":""MEDIUM"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""IP_PROXY"",""ADDRESS_MISMATCH"",""DEVICE_REPUTATION""],""modelVersion"":""sr-4.2""}",249,2026-02-02 17:01:35.112222-05:00
30,41,SENTINEL,430,MEDIUM,"PHONE_CARRIER_RISK,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-56e27d72"",""score"":430,""band"":""MEDIUM"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",2274,2026-02-02 14:46:17.220922-05:00
31,42,SENTINEL,288,LOW,"SYNTHETIC_ID_PATTERN,IP_PROXY,ADDRESS_MISMATCH","{""requestId"":""sen-f519f723"",""score"":288,""band"":""LOW"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""IP_PROXY"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.1""}",730,2026-02-02 16:56:54.541939-05:00
32,43,SENTINEL,437,MEDIUM,"BANK_ACCOUNT_AGE,IDENTITY_MISMATCH,EMAIL_AGE_LOW,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-935170d5"",""score"":437,""band"":""MEDIUM"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""IDENTITY_MISMATCH"",""EMAIL_AGE_LOW"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",761,2026-02-02 16:37:39.471668-05:00
33,46,SENTINEL,355,MEDIUM,"IP_PROXY,BANK_ACCOUNT_AGE,PHONE_CARRIER_RISK,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-6df7ddea"",""score"":355,""band"":""MEDIUM"",""reasonCodes"":[""IP_PROXY"",""BANK_ACCOUNT_AGE"",""PHONE_CARRIER_RISK"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",1300,2026-02-02 18:09:00.224834-05:00
34,47,SENTINEL,148,LOW,"SYNTHETIC_ID_PATTERN,IDENTITY_MISMATCH,ADDRESS_MISMATCH","{""requestId"":""sen-0c2f579c"",""score"":148,""band"":""LOW"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""IDENTITY_MISMATCH"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",2751,2026-02-02 18:22:16.473837-05:00
35,48,SENTINEL,57,LOW,"IP_PROXY,DEVICE_REPUTATION,BANK_ACCOUNT_AGE,ADDRESS_MISMATCH","{""requestId"":""sen-aa66d14d"",""score"":57,""band"":""LOW"",""reasonCodes"":[""IP_PROXY"",""DEVICE_REPUTATION"",""BANK_ACCOUNT_AGE"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",338,2026-02-02 15:51:52.331928-05:00
36,49,SENTINEL,140,LOW,"IDENTITY_MISMATCH,ADDRESS_MISMATCH","{""requestId"":""sen-489e4aff"",""score"":140,""band"":""LOW"",""reasonCodes"":[""IDENTITY_MISMATCH"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",234,2026-02-02 16:10:05.926942-05:00
37,50,SENTINEL,407,MEDIUM,"ADDRESS_MISMATCH,BANK_ACCOUNT_AGE","{""requestId"":""sen-e6d5c4b0"",""score"":407,""band"":""MEDIUM"",""reasonCodes"":[""ADDRESS_MISMATCH"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",817,2026-02-02 17:59:57.792017-05:00
38,51,SENTINEL,323,LOW,"VELOCITY_APPLICANT,PHONE_CARRIER_RISK,ADDRESS_MISMATCH","{""requestId"":""sen-850d3e62"",""score"":323,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT"",""PHONE_CARRIER_RISK"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",247,2026-02-02 20:00:51.315973-05:00
39,52,SENTINEL,1,LOW,"DEVICE_REPUTATION,VELOCITY_APPLICANT,IP_PROXY,EMAIL_AGE_LOW","{""requestId"":""sen-2344b814"",""score"":1,""band"":""LOW"",""reasonCodes"":[""DEVICE_REPUTATION"",""VELOCITY_APPLICANT"",""IP_PROXY"",""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",93,2026-02-02 17:48:45.810759-05:00
40,55,SENTINEL,258,LOW,"PHONE_CARRIER_RISK,ADDRESS_MISMATCH","{""requestId"":""sen-fdeb2528"",""score"":258,""band"":""LOW"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",4863,2026-02-02 19:37:42.052820-05:00
41,56,SENTINEL,638,MEDIUM,"PHONE_CARRIER_RISK,BANK_ACCOUNT_AGE,ADDRESS_MISMATCH,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-9c229eda"",""score"":638,""band"":""MEDIUM"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""BANK_ACCOUNT_AGE"",""ADDRESS_MISMATCH"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",426,2026-02-02 18:43:37.839292-05:00
42,57,SENTINEL,244,LOW,"BANK_ACCOUNT_AGE,DEVICE_REPUTATION,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-3a5a188c"",""score"":244,""band"":""LOW"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""DEVICE_REPUTATION"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.1""}",448,2026-02-02 20:21:06.276691-05:00
43,58,SENTINEL,104,LOW,IP_PROXY,"{""requestId"":""sen-d891923d"",""score"":104,""band"":""LOW"",""reasonCodes"":[""IP_PROXY""],""modelVersion"":""sr-4.2""}",4726,2026-02-02 18:49:05.808560-05:00
44,59,SENTINEL,631,MEDIUM,"IDENTITY_MISMATCH,DEVICE_REPUTATION,VELOCITY_APPLICANT","{""requestId"":""sen-76c90bef"",""score"":631,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH"",""DEVICE_REPUTATION"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",872,2026-02-02 22:36:33.137922-05:00
45,61,SENTINEL,377,MEDIUM,"EMAIL_AGE_LOW,PHONE_CARRIER_RISK,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-b337ff52"",""score"":377,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""PHONE_CARRIER_RISK"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",487,2026-02-02 23:28:16.930570-05:00
46,62,SENTINEL,410,MEDIUM,"EMAIL_AGE_LOW,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-516f7904"",""score"":410,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",284,2026-02-02 23:12:00.559761-05:00
47,64,SENTINEL,346,LOW,"DEVICE_REPUTATION,VELOCITY_APPLICANT,BANK_ACCOUNT_AGE","{""requestId"":""sen-8dde6c67"",""score"":346,""band"":""LOW"",""reasonCodes"":[""DEVICE_REPUTATION"",""VELOCITY_APPLICANT"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.1""}",131,2026-02-03 00:23:46.765595-05:00
48,65,SENTINEL,440,MEDIUM,BANK_ACCOUNT_AGE,"{""requestId"":""sen-2c15e619"",""score"":440,""band"":""MEDIUM"",""reasonCodes"":[""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.1""}",297,2026-02-02 22:36:01.294087-05:00
49,66,SENTINEL,398,MEDIUM,"EMAIL_AGE_LOW,PHONE_CARRIER_RISK,BANK_ACCOUNT_AGE","{""requestId"":""sen-ca4d5fca"",""score"":398,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""PHONE_CARRIER_RISK"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.1""}",2004,2026-02-02 21:29:28.328728-05:00
50,67,SENTINEL,359,MEDIUM,"EMAIL_AGE_LOW,ADDRESS_MISMATCH,VELOCITY_APPLICANT,BANK_ACCOUNT_AGE","{""requestId"":""sen-6884d97c"",""score"":359,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""ADDRESS_MISMATCH"",""VELOCITY_APPLICANT"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.1""}",2838,2026-02-03 00:45:40.848452-05:00
51,68,SENTINEL,511,MEDIUM,"IP_PROXY,VELOCITY_APPLICANT,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-06bc532e"",""score"":511,""band"":""MEDIUM"",""reasonCodes"":[""IP_PROXY"",""VELOCITY_APPLICANT"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",3114,2026-02-03 00:43:15.567258-05:00
52,69,SENTINEL,294,LOW,"IDENTITY_MISMATCH,DEVICE_REPUTATION,PHONE_CARRIER_RISK,ADDRESS_MISMATCH","{""requestId"":""sen-a4f3ccdf"",""score"":294,""band"":""LOW"",""reasonCodes"":[""IDENTITY_MISMATCH"",""DEVICE_REPUTATION"",""PHONE_CARRIER_RISK"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.2""}",3984,2026-02-03 04:07:38.911261-05:00
53,70,SENTINEL,443,MEDIUM,SYNTHETIC_ID_PATTERN,"{""requestId"":""sen-432b4691"",""score"":443,""band"":""MEDIUM"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.1""}",1185,2026-02-03 04:10:35.332284-05:00
54,71,SENTINEL,228,LOW,VELOCITY_APPLICANT,"{""requestId"":""sen-e162c042"",""score"":228,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.1""}",214,2026-02-03 04:56:35.615216-05:00
55,73,SENTINEL,27,LOW,"DEVICE_REPUTATION,ADDRESS_MISMATCH,VELOCITY_APPLICANT","{""requestId"":""sen-1dd1b3a6"",""score"":27,""band"":""LOW"",""reasonCodes"":[""DEVICE_REPUTATION"",""ADDRESS_MISMATCH"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",306,2026-02-03 05:00:58.387491-05:00
56,74,SENTINEL,417,MEDIUM,"SYNTHETIC_ID_PATTERN,DEVICE_REPUTATION,IDENTITY_MISMATCH","{""requestId"":""sen-bc092d57"",""score"":417,""band"":""MEDIUM"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""DEVICE_REPUTATION"",""IDENTITY_MISMATCH""],""modelVersion"":""sr-4.2""}",817,2026-02-03 06:18:57.102501-05:00
57,75,SENTINEL,506,MEDIUM,"EMAIL_AGE_LOW,DEVICE_REPUTATION","{""requestId"":""sen-5a40a709"",""score"":506,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""DEVICE_REPUTATION""],""modelVersion"":""sr-4.2""}",5635,2026-02-03 09:44:16.716198-05:00
58,76,SENTINEL,526,MEDIUM,"IDENTITY_MISMATCH,PHONE_CARRIER_RISK,IP_PROXY,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-f87820ba"",""score"":526,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH"",""PHONE_CARRIER_RISK"",""IP_PROXY"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.2""}",723,2026-02-03 06:46:27.722179-05:00
59,77,SENTINEL,67,LOW,"BANK_ACCOUNT_AGE,PHONE_CARRIER_RISK,IP_PROXY,VELOCITY_APPLICANT","{""requestId"":""sen-96af9a6c"",""score"":67,""band"":""LOW"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""PHONE_CARRIER_RISK"",""IP_PROXY"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",221,2026-02-03 11:35:01.048643-05:00
60,78,SENTINEL,288,LOW,"BANK_ACCOUNT_AGE,IDENTITY_MISMATCH,ADDRESS_MISMATCH,IP_PROXY","{""requestId"":""sen-34e7141e"",""score"":288,""band"":""LOW"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""IDENTITY_MISMATCH"",""ADDRESS_MISMATCH"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",173,2026-02-03 09:26:11.458164-05:00
61,81,SENTINEL,610,MEDIUM,"PHONE_CARRIER_RISK,IP_PROXY,ADDRESS_MISMATCH,VELOCITY_APPLICANT","{""requestId"":""sen-0f8d8133"",""score"":610,""band"":""MEDIUM"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""IP_PROXY"",""ADDRESS_MISMATCH"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",840,2026-02-03 11:14:15.819820-05:00
62,82,SENTINEL,257,LOW,,"{""requestId"":""sen-adc4fae4"",""score"":257,""band"":""LOW"",""reasonCodes"":null,""modelVersion"":""sr-4.1""}",600,2026-02-03 11:53:20.963775-05:00
63,83,SENTINEL,547,MEDIUM,"DEVICE_REPUTATION,IP_PROXY","{""requestId"":""sen-4bfc7496"",""score"":547,""band"":""MEDIUM"",""reasonCodes"":[""DEVICE_REPUTATION"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",123,2026-02-03 11:11:42.850484-05:00
64,84,SENTINEL,334,LOW,"PHONE_CARRIER_RISK,DEVICE_REPUTATION,BANK_ACCOUNT_AGE","{""requestId"":""sen-ea33ee47"",""score"":334,""band"":""LOW"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""DEVICE_REPUTATION"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",1450,2026-02-03 13:18:04.805125-05:00
65,86,SENTINEL,456,MEDIUM,"IDENTITY_MISMATCH,IP_PROXY,SYNTHETIC_ID_PATTERN,EMAIL_AGE_LOW","{""requestId"":""sen-26a2e1ab"",""score"":456,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH"",""IP_PROXY"",""SYNTHETIC_ID_PATTERN"",""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",1117,2026-02-03 12:28:03.640719-05:00
66,87,SENTINEL,533,MEDIUM,"IDENTITY_MISMATCH,BANK_ACCOUNT_AGE,ADDRESS_MISMATCH,VELOCITY_APPLICANT","{""requestId"":""sen-c4da5b5c"",""score"":533,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH"",""BANK_ACCOUNT_AGE"",""ADDRESS_MISMATCH"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",461,2026-02-03 14:47:30.864749-05:00
67,88,SENTINEL,369,MEDIUM,"EMAIL_AGE_LOW,VELOCITY_APPLICANT,DEVICE_REPUTATION,IP_PROXY","{""requestId"":""sen-6311d50e"",""score"":369,""band"":""MEDIUM"",""reasonCodes"":[""EMAIL_AGE_LOW"",""VELOCITY_APPLICANT"",""DEVICE_REPUTATION"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",364,2026-02-03 13:33:00.310411-05:00
68,89,SENTINEL,412,MEDIUM,"VELOCITY_APPLICANT,BANK_ACCOUNT_AGE,DEVICE_REPUTATION,ADDRESS_MISMATCH","{""requestId"":""sen-01494ec0"",""score"":412,""band"":""MEDIUM"",""reasonCodes"":[""VELOCITY_APPLICANT"",""BANK_ACCOUNT_AGE"",""DEVICE_REPUTATION"",""ADDRESS_MISMATCH""],""modelVersion"":""sr-4.1""}",297,2026-02-03 13:40:08.492398-05:00
69,90,SENTINEL,558,MEDIUM,"VELOCITY_APPLICANT,ADDRESS_MISMATCH,SYNTHETIC_ID_PATTERN,IP_PROXY","{""requestId"":""sen-9f80c871"",""score"":558,""band"":""MEDIUM"",""reasonCodes"":[""VELOCITY_APPLICANT"",""ADDRESS_MISMATCH"",""SYNTHETIC_ID_PATTERN"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",1389,2026-02-03 12:57:10.063985-05:00
70,91,SENTINEL,810,HIGH,"IDENTITY_MISMATCH,DEVICE_REPUTATION,ADDRESS_MISMATCH,IP_PROXY","{""requestId"":""sen-3db84223"",""score"":810,""band"":""HIGH"",""reasonCodes"":[""IDENTITY_MISMATCH"",""DEVICE_REPUTATION"",""ADDRESS_MISMATCH"",""IP_PROXY""],""modelVersion"":""sr-4.2""}",227,2026-02-03 14:02:23.834214-05:00
71,92,SENTINEL,31,LOW,"VELOCITY_APPLICANT,DEVICE_REPUTATION","{""requestId"":""sen-dbefbbd4"",""score"":31,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT"",""DEVICE_REPUTATION""],""modelVersion"":""sr-4.2""}",203,2026-02-03 12:49:47.630587-05:00
72,93,SENTINEL,343,LOW,EMAIL_AGE_LOW,"{""requestId"":""sen-7a273586"",""score"":343,""band"":""LOW"",""reasonCodes"":[""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",231,2026-02-03 12:08:16.180955-05:00
73,94,SENTINEL,610,MEDIUM,,"{""requestId"":""sen-185eaf38"",""score"":610,""band"":""MEDIUM"",""reasonCodes"":null,""modelVersion"":""sr-4.2""}",62,2026-02-03 13:25:30.426055-05:00
74,96,SENTINEL,89,LOW,"BANK_ACCOUNT_AGE,PHONE_CARRIER_RISK,EMAIL_AGE_LOW,DEVICE_REPUTATION","{""requestId"":""sen-54cda29b"",""score"":89,""band"":""LOW"",""reasonCodes"":[""BANK_ACCOUNT_AGE"",""PHONE_CARRIER_RISK"",""EMAIL_AGE_LOW"",""DEVICE_REPUTATION""],""modelVersion"":""sr-4.1""}",646,2026-02-03 13:51:48.417251-05:00
75,98,SENTINEL,549,MEDIUM,IDENTITY_MISMATCH,"{""requestId"":""sen-913c95fe"",""score"":549,""band"":""MEDIUM"",""reasonCodes"":[""IDENTITY_MISMATCH""],""modelVersion"":""sr-4.1""}",677,2026-02-03 14:24:38.502171-05:00
