extraction_id,document_id,extractor,extractor_version,field_name,field_value,confidence,is_correct,raw_response,extracted_at
13,3,OPTISCAN_V2,2.14.3,statement_period_start,2025-12-01,0.9999,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":6,""bbox"":[359,515,365,367]}",2026-02-10 07:54:27.737517-05:00
14,3,OPTISCAN_V2,2.14.3,statement_period_end,2026-02-28,0.9894,true,"{""field"":""statement_period_end"",""value"":""2026-02-28"",""confidence"":0.9894,""engine"":""optiscan_v2"",""page"":5,""bbox"":[195,378,103,528]}",2026-02-10 07:49:41.292879-05:00
15,3,OPTISCAN_V2,2.14.3,ending_balance,13942.38,0.9226,,"{""field"":""ending_balance"",""value"":""13942.38"",""confidence"":0.9226,""engine"":""optiscan_v2"",""page"":2,""bbox"":[157,302,140,606]}",2026-02-10 07:48:04.959821-05:00
16,3,OPTISCAN_V2,2.14.3,total_deposits,69633.63,0.964,,"{""field"":""total_deposits"",""value"":""69633.63"",""confidence"":0.964,""engine"":""optiscan_v2"",""page"":4,""bbox"":[195,458,176,133]}",2026-02-10 07:52:45.827328-05:00
17,3,OPTISCAN_V2,2.14.3,total_withdrawals,244452.15,0.996,,"{""field"":""total_withdrawals"",""value"":""244452.15"",""confidence"":0.996,""engine"":""optiscan_v2"",""page"":14,""bbox"":[248,221,346,43]}",2026-02-10 07:42:03.775359-05:00
18,3,OPTISCAN_V2,2.14.3,nsf_count,5,0.9571,,"{""field"":""nsf_count"",""value"":""5"",""confidence"":0.9571,""engine"":""optiscan_v2"",""page"":5,""bbox"":[245,370,218,578]}",2026-02-10 07:42:19.548276-05:00
19,4,OPTISCAN_V3,3.1.0,business_name,Lopez Veterinary 5olutions Inc,0.9651,,"{""field"":""business_name"",""value"":""Lopez Veterinary 5olutions Inc"",""confidence"":0.9651,""engine"":""optiscan_v3"",""page"":1,""bbox"":[289,618,304,148]}",2026-02-04 12:59:59.656242-05:00
20,4,OPTISCAN_V3,3.1.0,ein,83 4216139,0.9715,,"{""field"":""ein"",""value"":""83 4216139"",""confidence"":0.9715,""engine"":""optiscan_v3"",""page"":2,""bbox"":[65,511,211,593]}",2026-02-04 13:06:02.100070-05:00
21,4,OPTISCAN_V3,3.1.0,account_number,****4256,0.9403,,"{""field"":""account_number"",""value"":""****4256"",""confidence"":0.9403,""engine"":""optiscan_v3"",""page"":2,""bbox"":[192,106,78,128]}",2026-02-04 13:04:49.689577-05:00
22,4,OPTISCAN_V3,3.1.0,statement_period_start,2025-12-01,0.9611,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":0.9611,""engine"":""optiscan_v3"",""page"":3,""bbox"":[35,172,285,298]}",2026-02-04 13:02:14.025914-05:00
23,4,OPTISCAN_V3,3.1.0,statement_period_end,2026-01-28,0.9729,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9729,""engine"":""optiscan_v3"",""page"":1,""bbox"":[143,55,165,33]}",2026-02-04 13:02:07.669005-05:00
24,4,OPTISCAN_V3,3.1.0,ending_balance,11627.89,0.9797,,"{""field"":""ending_balance"",""value"":""11627.89"",""confidence"":0.9797,""engine"":""optiscan_v3"",""page"":1,""bbox"":[266,272,136,265]}",2026-02-04 13:09:33.198476-05:00
25,4,OPTISCAN_V3,3.1.0,total_deposits,16751.52,0.9755,,"{""field"":""total_deposits"",""value"":""16751.52"",""confidence"":0.9755,""engine"":""optiscan_v3"",""page"":2,""bbox"":[79,688,417,501]}",2026-02-04 13:08:22.959973-05:00
26,4,OPTISCAN_V3,3.1.0,total_withdrawals,185809.85,0.9845,,"{""field"":""total_withdrawals"",""value"":""185809.85"",""confidence"":0.9845,""engine"":""optiscan_v3"",""page"":3,""bbox"":[51,393,317,182]}",2026-02-04 13:02:42.215155-05:00
27,4,OPTISCAN_V3,3.1.0,nsf_count,0,0.9471,,"{""field"":""nsf_count"",""value"":""0"",""confidence"":0.9471,""engine"":""optiscan_v3"",""page"":2,""bbox"":[224,239,411,295]}",2026-02-04 13:01:06.108270-05:00
28,7,OPTISCAN_V2,2.14.3,business_name,Lopez Veterinary Solutions Inc,0.967,,"{""field"":""business_name"",""value"":""Lopez Veterinary Solutions Inc"",""confidence"":0.967,""engine"":""optiscan_v2"",""page"":2,""bbox"":[389,146,218,565]}",2026-02-06 11:07:52.433360-05:00
29,7,OPTISCAN_V2,2.14.3,ein,83 4216139,0.9556,true,"{""field"":""ein"",""value"":""83 4216139"",""confidence"":0.9556,""engine"":""optiscan_v2"",""page"":22,""bbox"":[108,48,408,378]}",2026-02-06 11:09:00.643107-05:00
30,7,OPTISCAN_V2,2.14.3,gross_receipts,1475310.50,0.9107,true,"{""field"":""gross_receipts"",""value"":""1475310.50"",""confidence"":0.9107,""engine"":""optiscan_v2"",""page"":3,""bbox"":[60,342,230,66]}",2026-02-06 11:11:38.195036-05:00
31,7,OPTISCAN_V2,2.14.3,net_income,61611.08,0.9614,,"{""field"":""net_income"",""value"":""61611.08"",""confidence"":0.9614,""engine"":""optiscan_v2"",""page"":20,""bbox"":[97,143,497,122]}",2026-02-06 11:10:07.432705-05:00
32,7,OPTISCAN_V2,2.14.3,tax_year,2024,0.9439,true,"{""field"":""tax_year"",""value"":""2024"",""confidence"":0.9439,""engine"":""optiscan_v2"",""page"":12,""bbox"":[197,460,458,561]}",2026-02-06 11:02:33.312717-05:00
33,8,MANUAL,n/a,business_name,Lopez Veterinary Solutions Inc,1.0,true,"{""field"":""business_name"",""value"":""Lopez Veterinary Solutions Inc"",""confidence"":1.0,""engine"":""manual"",""page"":2,""bbox"":[228,313,417,660]}",2026-02-05 18:54:18.748384-05:00
34,8,MANUAL,n/a,ein,83 4216139,1.0,true,"{""field"":""ein"",""value"":""83 4216139"",""confidence"":1.0,""engine"":""manual"",""page"":4,""bbox"":[154,426,343,572]}",2026-02-05 18:56:36.838431-05:00
35,8,MANUAL,n/a,account_number,****1430,1.0,,"{""field"":""account_number"",""value"":""****1430"",""confidence"":1.0,""engine"":""manual"",""page"":2,""bbox"":[116,99,468,438]}",2026-02-05 18:57:01.624250-05:00
36,8,MANUAL,n/a,statement_period_start,2025-12-01,1.0,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":1.0,""engine"":""manual"",""page"":1,""bbox"":[376,197,89,550]}",2026-02-05 19:02:09.264197-05:00
37,8,MANUAL,n/a,statement_period_end,2026-01-28,1.0,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[322,504,325,691]}",2026-02-05 18:49:51.467787-05:00
38,8,MANUAL,n/a,ending_balance,182965.19,1.0,,"{""field"":""ending_balance"",""value"":""182965.19"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[364,25,106,390]}",2026-02-05 19:00:03.336207-05:00
39,8,MANUAL,n/a,total_deposits,290346.97,1.0,,"{""field"":""total_deposits"",""value"":""290346.97"",""confidence"":1.0,""engine"":""manual"",""page"":4,""bbox"":[193,369,206,440]}",2026-02-05 18:54:00.112142-05:00
40,8,MANUAL,n/a,total_withdrawals,82421.31,1.0,,"{""field"":""total_withdrawals"",""value"":""82421.31"",""confidence"":1.0,""engine"":""manual"",""page"":4,""bbox"":[304,322,260,87]}",2026-02-05 18:51:14.153805-05:00
41,8,MANUAL,n/a,nsf_count,6,1.0,,"{""field"":""nsf_count"",""value"":""6"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[335,131,427,654]}",2026-02-05 18:49:52.817179-05:00
42,10,OPTISCAN_V2,2.14.3,business_name,Lopez Veterinary Solutions Inc,0.9369,,"{""field"":""business_name"",""value"":""Lopez Veterinary Solutions Inc"",""confidence"":0.9369,""engine"":""optiscan_v2"",""page"":1,""bbox"":[254,582,489,649]}",2026-02-06 22:02:17.208492-05:00
43,10,OPTISCAN_V2,2.14.3,ein,83 4216139,0.9784,,"{""field"":""ein"",""value"":""83 4216139"",""confidence"":0.9784,""engine"":""optiscan_v2"",""page"":1,""bbox"":[260,200,345,211]}",2026-02-06 22:07:00.040788-05:00
44,10,OPTISCAN_V2,2.14.3,gross_receipts,922025.56,0.9305,,"{""field"":""gross_receipts"",""value"":""922025.56"",""confidence"":0.9305,""engine"":""optiscan_v2"",""page"":1,""bbox"":[101,27,365,432]}",2026-02-06 22:01:39.081358-05:00
45,10,OPTISCAN_V2,2.14.3,net_income,538896.11,0.9442,,"{""field"":""net_income"",""value"":""538896.11"",""confidence"":0.9442,""engine"":""optiscan_v2"",""page"":1,""bbox"":[343,363,260,249]}",2026-02-06 22:04:57.666040-05:00
46,10,OPTISCAN_V2,2.14.3,tax_year,2024,0.9306,,"{""field"":""tax_year"",""value"":""2024"",""confidence"":0.9306,""engine"":""optiscan_v2"",""page"":1,""bbox"":[115,333,265,719]}",2026-02-06 22:04:29.532878-05:00
47,12,OPTISCAN_V2,2.14.3,business_name,Kannapolis Optical Partners LLC,0.9268,,"{""field"":""business_name"",""value"":""Kannapolis Optical Partners LLC"",""confidence"":0.9268,""engine"":""optiscan_v2"",""page"":3,""bbox"":[307,224,341,445]}",2026-02-25 11:04:02.978649-05:00
48,12,OPTISCAN_V2,2.14.3,ein,49-1845923,0.9968,,"{""field"":""ein"",""value"":""49-1845923"",""confidence"":0.9968,""engine"":""optiscan_v2"",""page"":5,""bbox"":[72,198,165,642]}",2026-02-25 10:50:08.830271-05:00
49,12,OPTISCAN_V2,2.14.3,account_number,****5487,0.9506,,"{""field"":""account_number"",""value"":""****5487"",""confidence"":0.9506,""engine"":""optiscan_v2"",""page"":6,""bbox"":[126,111,335,303]}",2026-02-25 10:55:56.858292-05:00
50,12,OPTISCAN_V2,2.14.3,statement_period_start,2026-01-01,0.9112,true,"{""field"":""statement_period_start"",""value"":""2026-01-01"",""confidence"":0.9112,""engine"":""optiscan_v2"",""page"":5,""bbox"":[67,380,126,84]}",2026-02-25 10:49:51.986988-05:00
51,12,OPTISCAN_V2,2.14.3,statement_period_end,2026-01-28,0.9805,true,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9805,""engine"":""optiscan_v2"",""page"":2,""bbox"":[56,149,84,283]}",2026-02-25 10:51:17.195497-05:00
52,12,OPTISCAN_V2,2.14.3,ending_balance,148968.56,0.9395,,"{""field"":""ending_balance"",""value"":""148968.56"",""confidence"":0.9395,""engine"":""optiscan_v2"",""page"":6,""bbox"":[369,580,369,148]}",2026-02-25 10:52:43.157417-05:00
53,12,OPTISCAN_V2,2.14.3,total_deposits,301373.68,0.9767,,"{""field"":""total_deposits"",""value"":""301373.68"",""confidence"":0.9767,""engine"":""optiscan_v2"",""page"":2,""bbox"":[351,476,283,137]}",2026-02-25 10:59:26.424396-05:00
54,12,OPTISCAN_V2,2.14.3,total_withdrawals,294647.06,0.9539,false,"{""field"":""total_withdrawals"",""value"":""294647.06"",""confidence"":0.9539,""engine"":""optiscan_v2"",""page"":6,""bbox"":[149,650,229,213]}",2026-02-25 10:59:08.108254-05:00
55,12,OPTISCAN_V2,2.14.3,nsf_count,2,0.9417,,"{""field"":""nsf_count"",""value"":""2"",""confidence"":0.9417,""engine"":""optiscan_v2"",""page"":1,""bbox"":[245,479,204,117]}",2026-02-25 11:02:01.351727-05:00
56,15,OPTISCAN_V2,2.14.3,business_name,Concord Janitorial LLC,0.9591,,"{""field"":""business_name"",""value"":""Concord Janitorial LLC"",""confidence"":0.9591,""engine"":""optiscan_v2"",""page"":8,""bbox"":[102,132,441,88]}",2026-02-09 06:26:52.823502-05:00
57,15,OPTISCAN_V2,2.14.3,ein,45-2576414,0.9999,,"{""field"":""ein"",""value"":""45-2576414"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":3,""bbox"":[78,396,334,317]}",2026-02-09 06:31:44.534272-05:00
58,15,OPTISCAN_V2,2.14.3,account_number,****2255,0.9496,,"{""field"":""account_number"",""value"":""****2255"",""confidence"":0.9496,""engine"":""optiscan_v2"",""page"":2,""bbox"":[116,648,407,616]}",2026-02-09 06:26:50.375516-05:00
59,15,OPTISCAN_V2,2.14.3,statement_period_start,2026-01-01,0.9932,,"{""field"":""statement_period_start"",""value"":""2026-01-01"",""confidence"":0.9932,""engine"":""optiscan_v2"",""page"":5,""bbox"":[104,151,108,572]}",2026-02-09 06:21:18.826376-05:00
60,15,OPTISCAN_V2,2.14.3,statement_period_end,2026-01-28,0.9266,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9266,""engine"":""optiscan_v2"",""page"":7,""bbox"":[248,508,490,513]}",2026-02-09 06:31:42.338102-05:00
61,15,OPTISCAN_V2,2.14.3,ending_balance,7158.61,0.9256,,"{""field"":""ending_balance"",""value"":""7158.61"",""confidence"":0.9256,""engine"":""optiscan_v2"",""page"":5,""bbox"":[122,134,475,266]}",2026-02-09 06:28:05.397398-05:00
62,15,OPTISCAN_V2,2.14.3,total_deposits,416263.70,0.9627,,"{""field"":""total_deposits"",""value"":""416263.70"",""confidence"":0.9627,""engine"":""optiscan_v2"",""page"":7,""bbox"":[374,331,428,99]}",2026-02-09 06:22:08.318851-05:00
63,15,OPTISCAN_V2,2.14.3,total_withdrawals,134858.35,0.9706,,"{""field"":""total_withdrawals"",""value"":""134858.35"",""confidence"":0.9706,""engine"":""optiscan_v2"",""page"":9,""bbox"":[20,411,442,172]}",2026-02-09 06:34:12.419188-05:00
64,15,OPTISCAN_V2,2.14.3,nsf_count,0,0.9676,,"{""field"":""nsf_count"",""value"":""0"",""confidence"":0.9676,""engine"":""optiscan_v2"",""page"":3,""bbox"":[191,486,90,291]}",2026-02-09 06:31:46.342935-05:00
65,16,AI_SERVICE,0.4.1,business_name,Concord Janitorial LLC,0.9202,,"{""field"":""business_name"",""value"":""Concord Janitorial LLC"",""confidence"":0.9202,""engine"":""ai_service"",""page"":14,""bbox"":[59,489,72,114]}",2026-02-09 22:11:11.784128-05:00
66,16,AI_SERVICE,0.4.1,ein,45-2576414,0.961,,"{""field"":""ein"",""value"":""45-2576414"",""confidence"":0.961,""engine"":""ai_service"",""page"":13,""bbox"":[237,59,481,605]}",2026-02-09 22:08:00.973743-05:00
67,16,AI_SERVICE,0.4.1,account_number,****4025,0.9929,,"{""field"":""account_number"",""value"":""****4025"",""confidence"":0.9929,""engine"":""ai_service"",""page"":7,""bbox"":[367,104,328,492]}",2026-02-09 22:03:01.335432-05:00
68,16,AI_SERVICE,0.4.1,statement_period_start,2025-12-01,0.9696,true,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":0.9696,""engine"":""ai_service"",""page"":11,""bbox"":[46,479,320,432]}",2026-02-09 22:04:27.453717-05:00
69,16,AI_SERVICE,0.4.1,statement_period_end,2026-01-28,0.9656,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9656,""engine"":""ai_service"",""page"":4,""bbox"":[364,335,294,89]}",2026-02-09 22:06:54.001406-05:00
70,16,AI_SERVICE,0.4.1,ending_balance,1806359.46,0.9659,,"{""field"":""ending_balance"",""value"":""1806359.46"",""confidence"":0.9659,""engine"":""ai_service"",""page"":9,""bbox"":[188,352,175,633]}",2026-02-09 22:14:07.396243-05:00
71,16,AI_SERVICE,0.4.1,total_deposits,209653.22,0.9729,true,"{""field"":""total_deposits"",""value"":""209653.22"",""confidence"":0.9729,""engine"":""ai_service"",""page"":8,""bbox"":[78,451,226,374]}",2026-02-09 22:02:07.757811-05:00
72,16,AI_SERVICE,0.4.1,total_withdrawals,366593.02,0.9566,false,"{""field"":""total_withdrawals"",""value"":""366593.02"",""confidence"":0.9566,""engine"":""ai_service"",""page"":12,""bbox"":[72,682,133,580]}",2026-02-09 22:14:55.207086-05:00
73,16,AI_SERVICE,0.4.1,nsf_count,0,0.9624,,"{""field"":""nsf_count"",""value"":""0"",""confidence"":0.9624,""engine"":""ai_service"",""page"":3,""bbox"":[215,586,363,667]}",2026-02-09 22:11:38.413839-05:00
74,17,OPTISCAN_V3,3.1.0,business_name,Concord Janitorial LLC,0.9414,,"{""field"":""business_name"",""value"":""Concord Janitorial LLC"",""confidence"":0.9414,""engine"":""optiscan_v3"",""page"":9,""bbox"":[218,426,185,98]}",2026-02-10 00:45:47.492364-05:00
75,17,OPTISCAN_V3,3.1.0,ein,45-2576414,0.9578,,"{""field"":""ein"",""value"":""45-2576414"",""confidence"":0.9578,""engine"":""optiscan_v3"",""page"":2,""bbox"":[66,502,181,271]}",2026-02-10 00:43:12.064850-05:00
76,17,OPTISCAN_V3,3.1.0,account_number,****7149,0.9214,,"{""field"":""account_number"",""value"":""****7149"",""confidence"":0.9214,""engine"":""optiscan_v3"",""page"":6,""bbox"":[124,423,358,352]}",2026-02-10 00:51:25.729301-05:00
77,17,OPTISCAN_V3,3.1.0,statement_period_start,2025-12-01,0.9692,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":0.9692,""engine"":""optiscan_v3"",""page"":8,""bbox"":[54,79,324,325]}",2026-02-10 00:43:15.835501-05:00
78,17,OPTISCAN_V3,3.1.0,statement_period_end,2026-01-28,0.9637,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9637,""engine"":""optiscan_v3"",""page"":1,""bbox"":[364,358,85,396]}",2026-02-10 00:44:28.782932-05:00
79,17,OPTISCAN_V3,3.1.0,ending_balance,202619.98,0.9882,,"{""field"":""ending_balance"",""value"":""202619.98"",""confidence"":0.9882,""engine"":""optiscan_v3"",""page"":7,""bbox"":[70,345,153,555]}",2026-02-10 00:48:06.032338-05:00
80,17,OPTISCAN_V3,3.1.0,total_deposits,312591.58,0.8962,,"{""field"":""total_deposits"",""value"":""312591.58"",""confidence"":0.8962,""engine"":""optiscan_v3"",""page"":6,""bbox"":[282,332,236,404]}",2026-02-10 00:50:30.133393-05:00
81,17,OPTISCAN_V3,3.1.0,total_withdrawals,286556.94,0.9492,,"{""field"":""total_withdrawals"",""value"":""286556.94"",""confidence"":0.9492,""engine"":""optiscan_v3"",""page"":4,""bbox"":[331,436,331,560]}",2026-02-10 00:38:55.133833-05:00
82,17,OPTISCAN_V3,3.1.0,nsf_count,3,0.9409,,"{""field"":""nsf_count"",""value"":""3"",""confidence"":0.9409,""engine"":""optiscan_v3"",""page"":3,""bbox"":[193,505,90,280]}",2026-02-10 00:38:57.817686-05:00
83,18,OPTISCAN_V2,2.14.3,business_name,Taylor Janitorial LLC,0.9892,,"{""field"":""business_name"",""value"":""Taylor Janitorial LLC"",""confidence"":0.9892,""engine"":""optiscan_v2"",""page"":7,""bbox"":[385,667,315,161]}",2026-02-14 12:58:01.957296-05:00
84,18,OPTISCAN_V2,2.14.3,ein,63-5136153,0.9689,false,"{""field"":""ein"",""value"":""63-5136153"",""confidence"":0.9689,""engine"":""optiscan_v2"",""page"":3,""bbox"":[84,691,323,565]}",2026-02-14 13:08:43.000682-05:00
85,18,OPTISCAN_V2,2.14.3,account_number,****3281,0.9999,,"{""field"":""account_number"",""value"":""****3281"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":4,""bbox"":[344,146,425,148]}",2026-02-14 12:59:29.533624-05:00
86,18,OPTISCAN_V2,2.14.3,statement_period_start,2026-01-01,0.9262,,"{""field"":""statement_period_start"",""value"":""2026-01-01"",""confidence"":0.9262,""engine"":""optiscan_v2"",""page"":7,""bbox"":[283,200,199,388]}",2026-02-14 12:59:35.362198-05:00
87,18,OPTISCAN_V2,2.14.3,statement_period_end,2026-01-28,0.9725,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9725,""engine"":""optiscan_v2"",""page"":9,""bbox"":[141,255,71,84]}",2026-02-14 13:05:52.637097-05:00
88,18,OPTISCAN_V2,2.14.3,ending_balance,1354.47,0.9999,,"{""field"":""ending_balance"",""value"":""1354.47"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":4,""bbox"":[180,518,68,592]}",2026-02-14 13:06:15.442586-05:00
89,18,OPTISCAN_V2,2.14.3,total_deposits,12226.95,0.9891,,"{""field"":""total_deposits"",""value"":""12226.95"",""confidence"":0.9891,""engine"":""optiscan_v2"",""page"":1,""bbox"":[61,88,298,683]}",2026-02-14 13:05:16.981852-05:00
90,18,OPTISCAN_V2,2.14.3,total_withdrawals,194617.05,0.9797,,"{""field"":""total_withdrawals"",""value"":""194617.05"",""confidence"":0.9797,""engine"":""optiscan_v2"",""page"":2,""bbox"":[294,389,477,449]}",2026-02-14 13:00:53.732932-05:00
91,18,OPTISCAN_V2,2.14.3,nsf_count,0,0.9502,,"{""field"":""nsf_count"",""value"":""0"",""confidence"":0.9502,""engine"":""optiscan_v2"",""page"":1,""bbox"":[46,623,319,553]}",2026-02-14 13:07:33.390934-05:00
92,19,MANUAL,n/a,business_name,Taylor Janitorial LLC,1.0,true,"{""field"":""business_name"",""value"":""Taylor Janitorial LLC"",""confidence"":1.0,""engine"":""manual"",""page"":9,""bbox"":[194,404,233,57]}",2026-02-15 05:19:54.177074-05:00
93,19,MANUAL,n/a,ein,63-5316153,1.0,true,"{""field"":""ein"",""value"":""63-5316153"",""confidence"":1.0,""engine"":""manual"",""page"":5,""bbox"":[67,75,414,207]}",2026-02-15 05:25:31.594642-05:00
94,19,MANUAL,n/a,account_number,****3289,1.0,,"{""field"":""account_number"",""value"":""****3289"",""confidence"":1.0,""engine"":""manual"",""page"":4,""bbox"":[264,256,187,232]}",2026-02-15 05:22:57.133010-05:00
95,19,MANUAL,n/a,statement_period_start,2025-12-01,1.0,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":1.0,""engine"":""manual"",""page"":2,""bbox"":[316,433,137,699]}",2026-02-15 05:25:07.081566-05:00
96,19,MANUAL,n/a,statement_period_end,2026-01-28,1.0,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":1.0,""engine"":""manual"",""page"":9,""bbox"":[185,109,386,507]}",2026-02-15 05:27:52.752555-05:00
97,19,MANUAL,n/a,ending_balance,184240.42,1.0,,"{""field"":""ending_balance"",""value"":""184240.42"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[59,526,76,331]}",2026-02-15 05:25:16.802507-05:00
98,19,MANUAL,n/a,total_deposits,115507.68,1.0,,"{""field"":""total_deposits"",""value"":""115507.68"",""confidence"":1.0,""engine"":""manual"",""page"":2,""bbox"":[70,147,224,554]}",2026-02-15 05:25:35.492008-05:00
99,19,MANUAL,n/a,total_withdrawals,135180.11,1.0,true,"{""field"":""total_withdrawals"",""value"":""135180.11"",""confidence"":1.0,""engine"":""manual"",""page"":8,""bbox"":[92,550,369,720]}",2026-02-15 05:16:10.803354-05:00
100,19,MANUAL,n/a,nsf_count,5,1.0,,"{""field"":""nsf_count"",""value"":""5"",""confidence"":1.0,""engine"":""manual"",""page"":1,""bbox"":[110,677,367,551]}",2026-02-15 05:16:00.971427-05:00
101,21,MANUAL,n/a,business_name,Salisbury Auto Partners LLC,1.0,,"{""field"":""business_name"",""value"":""Salisbury Auto Partners LLC"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[175,634,206,32]}",2026-02-05 06:43:27.312604-05:00
102,21,MANUAL,n/a,ein,459386970,1.0,true,"{""field"":""ein"",""value"":""459386970"",""confidence"":1.0,""engine"":""manual"",""page"":2,""bbox"":[248,537,131,238]}",2026-02-05 06:48:32.659164-05:00
103,21,MANUAL,n/a,account_number,****2621,1.0,,"{""field"":""account_number"",""value"":""****2621"",""confidence"":1.0,""engine"":""manual"",""page"":1,""bbox"":[380,42,481,664]}",2026-02-05 06:41:59.439696-05:00
104,21,MANUAL,n/a,statement_period_start,2025-12-01,1.0,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":1.0,""engine"":""manual"",""page"":4,""bbox"":[107,66,195,263]}",2026-02-05 06:48:41.029520-05:00
105,21,MANUAL,n/a,statement_period_end,2026-01-28,1.0,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":1.0,""engine"":""manual"",""page"":3,""bbox"":[243,22,269,127]}",2026-02-05 06:49:23.852125-05:00
106,21,MANUAL,n/a,ending_balance,137969.10,1.0,,"{""field"":""ending_balance"",""value"":""137969.10"",""confidence"":1.0,""engine"":""manual"",""page"":1,""bbox"":[203,651,90,68]}",2026-02-05 06:41:49.957295-05:00
