event_id,application_id,event_type,from_status,to_status,actor_type,actor_id,occurred_at,recorded_at,detail
41,300,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 23:37:09.828937-05:00,2026-01-30 23:37:10.168937-05:00,
42,4,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 23:58:22.535552-05:00,2026-01-30 23:58:22.579552-05:00,
43,69,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 00:50:56.279779-05:00,2026-01-31 00:50:56.388779-05:00,
44,64,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 01:58:44.344537-05:00,2026-01-31 01:58:44.448537-05:00,
45,165,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 02:51:00.869838-05:00,2026-01-31 02:51:01.074838-05:00,
46,191,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 03:02:29.806079-05:00,2026-01-31 03:02:30.037079-05:00,
47,792,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 03:55:56.898130-05:00,2026-01-31 03:55:57.030130-05:00,
48,134,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 07:56:01.517427-05:00,2026-01-31 07:56:01.691427-05:00,
49,60,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 08:52:56.458246-05:00,2026-01-31 08:52:56.558246-05:00,
50,48,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 11:52:08.714452-05:00,2026-01-31 11:52:08.802452-05:00,
51,83,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 15:02:19.500202-05:00,2026-01-31 15:02:19.623202-05:00,
52,32,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 15:57:13.601978-05:00,2026-01-31 15:57:13.673978-05:00,
53,153,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 17:21:12.385235-05:00,2026-01-31 17:21:12.578235-05:00,
54,112,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 17:26:37.319979-05:00,2026-01-31 17:26:37.471979-05:00,
55,21,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 17:47:56.402536-05:00,2026-01-31 17:47:56.463536-05:00,
56,295,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 19:48:08.993442-05:00,2026-01-31 19:48:09.328442-05:00,
57,56,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 20:40:58.788645-05:00,2026-01-31 20:40:58.884645-05:00,
58,114,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 21:08:28.096238-05:00,2026-01-31 21:08:28.250238-05:00,
59,28,CREATED,,DRAFT,APPLICANT,portal,2026-01-31 23:59:26.068723-05:00,2026-01-31 23:59:26.136723-05:00,
60,55,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 01:58:43.720557-05:00,2026-02-01 01:58:43.815557-05:00,
61,49,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 02:59:42.617132-05:00,2026-02-01 02:59:42.706132-05:00,
62,45,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 03:02:12.639685-05:00,2026-02-01 03:02:12.724685-05:00,
63,39,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 05:11:07.679366-05:00,2026-02-01 05:11:07.758366-05:00,
64,377,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 05:32:24.802107-05:00,2026-02-01 05:32:25.219107-05:00,
65,75,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 05:39:27.772501-05:00,2026-02-01 05:39:27.887501-05:00,
66,138,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 06:49:36.362828-05:00,2026-02-01 06:49:36.540828-05:00,
67,143,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 07:39:58.695440-05:00,2026-02-01 07:39:58.878440-05:00,
68,325,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 08:21:18.070808-05:00,2026-02-01 08:21:18.435808-05:00,
69,30,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 09:14:56.964913-05:00,2026-02-01 09:14:57.034913-05:00,
70,11,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 10:49:53.601450-05:00,2026-02-01 10:49:53.652450-05:00,
71,97,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 11:33:10.846235-05:00,2026-02-01 11:33:10.983235-05:00,
72,89,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 11:51:23.781544-05:00,2026-02-01 11:51:23.910544-05:00,
73,54,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 11:53:22.812692-05:00,2026-02-01 11:53:22.906692-05:00,
74,478,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 11:53:27.476183-05:00,2026-02-01 11:53:27.994183-05:00,
75,88,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 11:57:29.009056-05:00,2026-02-01 11:57:29.137056-05:00,
76,6,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 12:02:02.426538-05:00,2026-02-01 12:02:02.472538-05:00,
77,7,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 12:07:52.754818-05:00,2026-02-01 12:07:52.801818-05:00,
78,99,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 13:05:52.207138-05:00,2026-02-01 13:05:52.346138-05:00,
79,3,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 14:14:41.172166-05:00,2026-02-01 14:14:41.215166-05:00,
80,123,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 14:20:07.762256-05:00,2026-02-01 14:20:07.925256-05:00,
81,41,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 14:46:19.050701-05:00,2026-02-01 14:46:19.131701-05:00,
82,136,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 15:24:26.143307-05:00,2026-02-01 15:24:26.319307-05:00,
83,15,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 15:33:53.648289-05:00,2026-02-01 15:33:53.703289-05:00,
84,34,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 15:41:26.721902-05:00,2026-02-01 15:41:26.795902-05:00,
85,46,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 15:53:55.156862-05:00,2026-02-01 15:53:55.242862-05:00,
86,18,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 15:57:33.289156-05:00,2026-02-01 15:57:33.347156-05:00,
87,35,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 16:02:16.063789-05:00,2026-02-01 16:02:16.138789-05:00,
88,5,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 17:11:07.651559-05:00,2026-02-01 17:11:07.696559-05:00,
89,299,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 17:15:49.015139-05:00,2026-02-01 17:15:49.354139-05:00,
90,23,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 18:25:46.954886-05:00,2026-02-01 18:25:47.017886-05:00,
91,33,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 18:38:42.247028-05:00,2026-02-01 18:38:42.320028-05:00,
92,102,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 19:02:07.187519-05:00,2026-02-01 19:02:07.329519-05:00,
93,38,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 19:23:55.517145-05:00,2026-02-01 19:23:55.595145-05:00,
94,310,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 21:33:33.347328-05:00,2026-02-01 21:33:33.697328-05:00,
95,40,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 22:03:46.541794-05:00,2026-02-01 22:03:46.621794-05:00,
96,127,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 22:16:25.933608-05:00,2026-02-01 22:16:26.100608-05:00,
97,9,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 22:22:53.958376-05:00,2026-02-01 22:22:54.007376-05:00,
98,1,CREATED,,DRAFT,APPLICANT,portal,2026-02-01 23:26:05.196429-05:00,2026-02-01 23:26:05.237429-05:00,
99,27,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 00:04:25.437911-05:00,2026-02-02 00:04:25.504911-05:00,
100,44,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 00:24:52.570782-05:00,2026-02-02 00:24:52.654782-05:00,
101,59,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 00:39:02.222509-05:00,2026-02-02 00:39:02.321509-05:00,
102,74,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 01:23:55.920623-05:00,2026-02-02 01:23:56.034623-05:00,
103,2,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 01:25:22.744104-05:00,2026-02-02 01:25:22.786104-05:00,
104,424,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 01:39:30.259148-05:00,2026-02-02 01:39:30.723148-05:00,
105,51,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 01:57:49.156246-05:00,2026-02-02 01:57:49.247246-05:00,
106,12,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 02:19:20.328667-05:00,2026-02-02 02:19:20.380667-05:00,
107,120,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 02:28:39.388901-05:00,2026-02-02 02:28:39.548901-05:00,
108,304,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 02:32:19.053598-05:00,2026-02-02 02:32:19.397598-05:00,
109,145,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 02:35:25.426539-05:00,2026-02-02 02:35:25.611539-05:00,
110,193,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 03:22:05.884801-05:00,2026-02-02 03:22:06.117801-05:00,
111,87,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 03:23:05.440192-05:00,2026-02-02 03:23:05.567192-05:00,
112,26,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 03:32:34.445344-05:00,2026-02-02 03:32:34.511344-05:00,
113,348,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:03:42.361398-05:00,2026-02-02 04:03:42.749398-05:00,
114,480,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:28:44.534682-05:00,2026-02-02 04:28:45.054682-05:00,
115,91,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:33:56.787843-05:00,2026-02-02 04:33:56.918843-05:00,
116,42,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:44:31.081055-05:00,2026-02-02 04:44:31.163055-05:00,
117,53,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:45:07.106652-05:00,2026-02-02 04:45:07.199652-05:00,
118,10,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 04:55:14.728818-05:00,2026-02-02 04:55:14.778818-05:00,
119,129,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 05:40:35.856703-05:00,2026-02-02 05:40:36.025703-05:00,
120,14,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 05:46:46.273844-05:00,2026-02-02 05:46:46.327844-05:00,
121,71,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 05:56:33.407121-05:00,2026-02-02 05:56:33.518121-05:00,
122,100,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 06:10:07.103623-05:00,2026-02-02 06:10:07.243623-05:00,
123,20,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 06:21:49.532966-05:00,2026-02-02 06:21:49.592966-05:00,
124,342,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 06:33:37.254880-05:00,2026-02-02 06:33:37.636880-05:00,
125,160,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 06:44:29.190051-05:00,2026-02-02 06:44:29.390051-05:00,
126,82,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 06:51:19.949629-05:00,2026-02-02 06:51:20.071629-05:00,
127,78,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 07:10:18.636145-05:00,2026-02-02 07:10:18.754145-05:00,
128,493,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 07:26:58.986631-05:00,2026-02-02 07:26:59.519631-05:00,
129,1,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 07:30:00-05:00,2026-02-02 07:30:00.041000-05:00,
130,2,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 07:56:05.003752-05:00,2026-02-02 07:56:05.045752-05:00,
131,3,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 08:12:33.731354-05:00,2026-02-02 08:12:33.774354-05:00,
132,93,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 08:20:14.801540-05:00,2026-02-02 08:20:14.934540-05:00,
133,4,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 08:21:42.202253-05:00,2026-02-02 08:21:42.246253-05:00,
134,2,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 08:27:41.741798-05:00,2026-02-02 08:27:41.783798-05:00,Standard package for TERM_LOAN
135,990,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 08:29:39.982360-05:00,2026-02-02 08:29:40.312360-05:00,
136,117,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 08:33:08.232475-05:00,2026-02-02 08:33:08.389475-05:00,
137,289,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 08:34:36.674080-05:00,2026-02-02 08:34:37.003080-05:00,
138,5,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 08:37:02.608250-05:00,2026-02-02 08:37:02.653250-05:00,
139,6,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 08:49:15.977496-05:00,2026-02-02 08:49:16.023496-05:00,
140,4,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 08:59:50.390077-05:00,2026-02-02 08:59:50.434077-05:00,Standard package for LOC
141,36,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 09:04:16.679578-05:00,2026-02-02 09:04:16.755578-05:00,
142,135,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 09:05:59.114621-05:00,2026-02-02 09:05:59.289621-05:00,
143,7,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 09:14:46.376873-05:00,2026-02-02 09:14:46.423873-05:00,
144,8,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 09:23:50.194855-05:00,2026-02-02 09:23:50.242855-05:00,
145,5,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 09:26:31.501286-05:00,2026-02-02 09:26:31.546286-05:00,Standard package for TERM_LOAN
146,1,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 09:26:49.428511-05:00,2026-02-02 09:26:49.469511-05:00,Standard package for SBA_7A
147,9,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 09:28:39.662199-05:00,2026-02-02 09:28:39.711199-05:00,
148,68,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 09:33:21.414319-05:00,2026-02-02 09:33:21.522319-05:00,
149,10,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 09:38:43.160586-05:00,2026-02-02 09:38:43.210586-05:00,
150,11,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 09:42:10.109392-05:00,2026-02-02 09:42:10.160392-05:00,
151,8,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 09:47:27.831319-05:00,2026-02-02 09:47:27.879319-05:00,Standard package for EQUIPMENT
152,65,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 09:49:59.312601-05:00,2026-02-02 09:49:59.417601-05:00,
153,11,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 09:55:56.764865-05:00,2026-02-02 09:55:56.815865-05:00,Standard package for TERM_LOAN
154,6,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 10:05:03.733667-05:00,2026-02-02 10:05:03.779667-05:00,Standard package for EQUIPMENT
155,12,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 10:14:32.738326-05:00,2026-02-02 10:14:32.790326-05:00,
156,13,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 10:19:54.105098-05:00,2026-02-02 10:19:54.158098-05:00,
157,14,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 10:32:58.958818-05:00,2026-02-02 10:32:59.012818-05:00,
158,10,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 10:33:27.000084-05:00,2026-02-02 10:33:27.050084-05:00,Standard package for TERM_LOAN
159,15,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 10:41:38.241480-05:00,2026-02-02 10:41:38.296480-05:00,
160,16,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 10:49:24.407572-05:00,2026-02-02 10:49:24.463572-05:00,
161,3,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 10:50:37.909988-05:00,2026-02-02 10:50:37.952988-05:00,Standard package for EQUIPMENT
162,17,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:00:44.529295-05:00,2026-02-02 11:00:44.586295-05:00,
163,94,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 11:01:13.680331-05:00,2026-02-02 11:01:13.814331-05:00,
164,18,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:05:55.928439-05:00,2026-02-02 11:05:55.986439-05:00,
165,285,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 11:08:03.908854-05:00,2026-02-02 11:08:04.233854-05:00,
166,19,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:09:10.730108-05:00,2026-02-02 11:09:10.789108-05:00,
167,16,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 11:10:18.637448-05:00,2026-02-02 11:10:18.693448-05:00,Standard package for EQUIPMENT
168,9,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 11:10:31.834273-05:00,2026-02-02 11:10:31.883273-05:00,Standard package for EQUIPMENT
169,7,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 11:11:52.730552-05:00,2026-02-02 11:11:52.777552-05:00,Standard package for EQUIPMENT
170,18,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 11:21:37.789138-05:00,2026-02-02 11:21:37.847138-05:00,Standard package for EQUIPMENT
171,52,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 11:22:37.483712-05:00,2026-02-02 11:22:37.575712-05:00,
172,20,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:27:36.447233-05:00,2026-02-02 11:27:36.507233-05:00,
173,50,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 11:31:55.378744-05:00,2026-02-02 11:31:55.468744-05:00,
174,21,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:39:58.889509-05:00,2026-02-02 11:39:58.950509-05:00,
175,22,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 11:49:17.111847-05:00,2026-02-02 11:49:17.173847-05:00,
176,19,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:00:13.759100-05:00,2026-02-02 12:00:13.818100-05:00,Standard package for SBA_7A
177,23,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:00:19.674222-05:00,2026-02-02 12:00:19.737222-05:00,
178,20,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:04:35.675257-05:00,2026-02-02 12:04:35.735257-05:00,Standard package for TERM_LOAN
179,24,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:08:46.625082-05:00,2026-02-02 12:08:46.689082-05:00,
180,25,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:18:29.317387-05:00,2026-02-02 12:18:29.382387-05:00,
181,12,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:26:44.557523-05:00,2026-02-02 12:26:44.609523-05:00,Standard package for TERM_LOAN
182,26,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:30:12.017835-05:00,2026-02-02 12:30:12.083835-05:00,
183,27,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:36:17.414767-05:00,2026-02-02 12:36:17.481767-05:00,
184,28,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:39:33.905906-05:00,2026-02-02 12:39:33.973906-05:00,
185,17,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:43:44.600234-05:00,2026-02-02 12:43:44.657234-05:00,Standard package for TERM_LOAN
186,29,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:45:23.193383-05:00,2026-02-02 12:45:23.262383-05:00,
187,26,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:48:50.356952-05:00,2026-02-02 12:48:50.422952-05:00,Standard package for TERM_LOAN
188,30,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 12:49:18.055130-05:00,2026-02-02 12:49:18.125130-05:00,
189,13,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 12:51:23.138635-05:00,2026-02-02 12:51:23.191635-05:00,Standard package for TERM_LOAN
190,63,CREATED,,DRAFT,APPLICANT,portal,2026-02-02 12:59:15.570557-05:00,2026-02-02 12:59:15.673557-05:00,
191,31,SUBMITTED,DRAFT,SUBMITTED,APPLICANT,portal,2026-02-02 13:00:50.948852-05:00,2026-02-02 13:00:51.019852-05:00,
192,27,DOCS_REQUESTED,SUBMITTED,DOCS_REQUESTED,SYSTEM,intake-worker,2026-02-02 13:06:16.592595-05:00,2026-02-02 13:06:16.659595-05:00,Standard package for SBA_7A
