transaction_id,application_id,document_id,account_last4,posted_date,description,amount,running_balance,category,category_source,created_at
16,1,1,3836,2026-01-11,GUSTO PAYROLL ****3801,-32905.25,370906.75,PAYROLL,OPTISCAN_RULES,2026-02-12 19:27:02.896321-05:00
17,1,1,3836,2026-01-12,ACH CREDIT CUSTOMER PMT,6237.70,377144.45,ACH_CREDIT,OPTISCAN_RULES,2026-02-12 19:36:11.043672-05:00
18,1,1,3836,2026-01-14,STRIPE PAYOUT,33759.51,410903.96,,,2026-02-12 19:23:07.602171-05:00
19,1,1,3836,2026-01-15,TOAST POS SETTLEMENT,65473.19,476377.15,,,2026-02-12 19:27:03.195477-05:00
20,1,1,3836,2026-01-17,WIRE IN REF 8841,32973.32,509350.47,WIRE_IN,AI_SERVICE,2026-02-12 19:32:09.952314-05:00
21,1,1,3836,2026-01-18,STATE TAX PAYMENT,-41630.72,467719.75,,,2026-02-12 19:26:15.339475-05:00
22,1,3,9583,2026-01-06,GUSTO PAYROLL ****2842,-579.59,69917.92,PAYROLL,OPTISCAN_RULES,2026-02-10 07:54:56.248801-05:00
23,1,3,9583,2026-01-07,NSF FEE ****7866,-35.00,69882.92,,,2026-02-10 07:55:26.840017-05:00
24,1,3,9583,2026-01-08,US FOODS ACH DEBIT 13729060,-33817.25,36065.67,,,2026-02-10 07:41:33.733043-05:00
25,1,3,9583,2026-01-09,INTERNAL XFER FROM MMKT,51048.35,87114.02,ACH_CREDIT,OPTISCAN_RULES,2026-02-10 07:57:31.117530-05:00
26,1,3,9583,2026-01-10,SHOPIFY PAYMENTS PAYOUT 61664297,11929.09,99043.11,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-10 07:43:36.092681-05:00
27,1,3,9583,2026-01-11,SYSCO FOOD SERVICE,-14659.20,84383.91,,,2026-02-10 07:41:34.397520-05:00
28,1,3,9583,2026-01-12,COMMERCIAL RENT ACH 33836060,-19545.65,64838.26,RENT,OPTISCAN_RULES,2026-02-10 07:50:35.168071-05:00
29,1,3,9583,2026-01-13,ACH CREDIT CUSTOMER PMT 92909625,62459.99,127298.25,ACH_CREDIT,OPTISCAN_RULES,2026-02-10 07:57:36.762448-05:00
30,1,3,9583,2026-01-14,SYSCO FOOD SERVICE,-8178.95,119119.30,,,2026-02-10 07:43:42.259967-05:00
31,1,3,9583,2026-01-15,HOME DEPOT PRO   ,-5946.50,113172.80,SUPPLIER,MANUAL,2026-02-10 07:54:27.419477-05:00
32,1,3,9583,2026-01-16,GUSTO PAYROLL,-30809.95,82362.85,,,2026-02-10 07:58:41.376697-05:00
33,1,3,9583,2026-01-17,MERCHANT BANKCD DEP 69243626,17438.73,99801.58,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-10 07:42:35.965030-05:00
34,1,3,9583,2026-01-18,STRIPE PAYOUT 81811356,20836.39,120637.97,,,2026-02-10 07:48:00.330269-05:00
35,1,3,9583,2026-01-19,ATM WITHDRAWAL 57039653,-27304.35,93333.62,OTHER,OPTISCAN_RULES,2026-02-10 07:47:21.658790-05:00
36,1,3,9583,2026-01-20,TOAST POS SETTLEMENT ****3319,53415.71,146749.33,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-10 07:45:53.651435-05:00
37,1,3,9583,2026-01-21,SQUARE INC          DEPOSIT,36345.91,183095.24,CARD_SETTLEMENT,MANUAL,2026-02-10 07:44:54.463052-05:00
38,1,3,9583,2026-01-22,ADP PAYROLL FEES,-39651.86,143443.38,,,2026-02-10 08:00:03.386172-05:00
39,1,3,9583,2026-01-23,GUSTO PAYROLL 63003905,-10230.70,133212.68,,,2026-02-10 07:42:10.314215-05:00
40,1,3,9583,2026-01-25,GUSTO PAYROLL,-2023.10,131189.58,PAYROLL,OPTISCAN_RULES,2026-02-10 07:50:46.105074-05:00
41,1,3,9583,2026-01-26,SYSCO FOOD SERVICE,-25163.44,106026.14,SUPPLIER,OPTISCAN_RULES,2026-02-10 07:51:40.693169-05:00
42,1,3,9583,2026-01-27,US FOODS ACH DEBIT,-2949.23,103076.91,,,2026-02-10 07:47:31.335837-05:00
43,1,3,9583,2026-01-28,STRIPE PAYOUT 15908463,57885.24,160962.15,,,2026-02-10 07:43:03.783660-05:00
44,1,3,9583,2026-01-29,HOME DEPOT PRO,-38376.52,122585.63,,,2026-02-10 07:48:53.788017-05:00
45,1,3,9583,2026-01-30,DUKE ENERGY BILLPAY,-20488.50,102097.13,UTILITIES,MANUAL,2026-02-10 07:55:21.963376-05:00
46,1,3,9583,2026-01-31,GUSTO PAYROLL,-32489.81,69607.32,PAYROLL,MANUAL,2026-02-10 07:44:57.072858-05:00
47,1,3,9583,2026-02-01,ADP PAYROLL FEES,-29604.97,40002.35,PAYROLL,OPTISCAN_RULES,2026-02-10 07:56:38.419924-05:00
48,1,3,9583,2026-02-02,US FOODS ACH DEBIT,-32092.27,7910.08,SUPPLIER,OPTISCAN_RULES,2026-02-10 07:49:32.790765-05:00
49,1,3,9583,2026-02-03,STRIPE PAYOUT,71671.97,79582.05,CARD_SETTLEMENT,MANUAL,2026-02-10 07:50:37.695402-05:00
50,1,3,9583,2026-02-04,VENDOR CHECK 1042 08490554,-26820.99,52761.06,,,2026-02-10 07:46:36.649994-05:00
51,2,4,1702,2025-12-15,REMOTE DEPOSIT CAPTURE,8382.46,88635.97,CHECK_DEPOSIT,OPTISCAN_RULES,2026-02-04 13:02:09.292128-05:00
52,2,4,1702,2025-12-16,STATE TAX PAYMENT 47917189,-10534.02,78101.95,,,2026-02-04 13:02:33.970837-05:00
53,2,4,1702,2025-12-17,SYSCO FOOD SERVICE 77501145,-2667.86,75434.09,,,2026-02-04 13:05:59.648746-05:00
54,2,4,1702,2025-12-18,GUSTO PAYROLL ****8834,-1204.67,74229.42,PAYROLL,OPTISCAN_RULES,2026-02-04 13:17:25.636244-05:00
55,2,4,1702,2025-12-19,GUSTO PAYROLL 51042525,-770.39,73459.03,PAYROLL,OPTISCAN_RULES,2026-02-04 13:11:28.868115-05:00
56,2,4,1702,2025-12-20,DUKE ENERGY BILLPAY,-5775.99,67683.04,,,2026-02-04 13:14:29.314778-05:00
57,2,4,1702,2025-12-22,REMOTE DEPOSIT CAPTURE,1744.23,69427.27,,,2026-02-04 13:05:56.755430-05:00
58,2,4,1702,2025-12-24,STRIPE PAYOUT   ,14933.96,84361.23,CARD_SETTLEMENT,AI_SERVICE,2026-02-04 13:02:19.501082-05:00
59,2,4,1702,2025-12-25,SQUARE INC          DEPOSIT   ,21090.01,105451.24,,,2026-02-04 13:15:31.729565-05:00
60,2,4,1702,2025-12-27,US FOODS ACH DEBIT 96249089,-10961.38,94489.86,,,2026-02-04 13:04:51.759497-05:00
61,2,4,1702,2025-12-28,ATM WITHDRAWAL   ,-3398.68,91091.18,,,2026-02-04 13:18:33.941702-05:00
62,2,4,1702,2025-12-29,SQUARE INC          DEPOSIT ****7271,20407.49,111498.67,CARD_SETTLEMENT,AI_SERVICE,2026-02-04 13:06:14.097766-05:00
63,2,4,1702,2025-12-30,GUSTO PAYROLL,-12195.29,99303.38,PAYROLL,OPTISCAN_RULES,2026-02-04 13:06:23.981940-05:00
64,2,4,1702,2025-12-31,VENDOR CHECK 1042 38873601,-4404.89,94898.49,SUPPLIER,AI_SERVICE,2026-02-04 13:15:57.936730-05:00
65,2,4,1702,2026-01-01,GUSTO PAYROLL ****5828,-2906.33,91992.16,PAYROLL,OPTISCAN_RULES,2026-02-04 13:14:16.433887-05:00
66,2,4,1702,2026-01-02,REMOTE DEPOSIT CAPTURE,11764.06,103756.22,,,2026-02-04 13:17:33.568035-05:00
67,2,4,1702,2026-01-03,STRIPE PAYOUT 29148191,13405.78,117162.00,CARD_SETTLEMENT,MANUAL,2026-02-04 13:12:08.590146-05:00
68,2,4,1702,2026-01-04,HOME DEPOT PRO,-5564.66,111597.34,,,2026-02-04 13:18:12.789651-05:00
69,2,4,1702,2026-01-05,stripe payout,12023.47,123620.81,,,2026-02-04 13:02:14.913449-05:00
70,2,4,1702,2026-01-06,STRIPE PAYOUT 83759259,23941.18,147561.99,,,2026-02-04 13:12:39.221194-05:00
71,2,4,1702,2026-01-07,US FOODS ACH DEBIT,-5154.68,142407.31,SUPPLIER,AI_SERVICE,2026-02-04 13:07:45.208637-05:00
72,2,4,1702,2026-01-09,CARD PAYMENT THANK YOU,-1172.28,141235.03,OTHER,MANUAL,2026-02-04 13:01:52.238964-05:00
73,2,4,1702,2026-01-10,STRIPE PAYOUT,11139.45,152374.48,CARD_SETTLEMENT,MANUAL,2026-02-04 13:03:02.042164-05:00
74,2,4,1702,2026-01-12,DUKE ENERGY BILLPAY 32650734,-3625.18,148749.30,UTILITIES,OPTISCAN_RULES,2026-02-04 13:17:58.485134-05:00
75,2,4,1702,2026-01-13,ACH CREDIT CUSTOMER PMT,16313.95,165063.25,,,2026-02-04 13:17:43.624005-05:00
76,2,8,6704,2026-01-02,STRIPE PAYOUT,10901.18,148257.51,,,2026-02-05 18:59:14.882804-05:00
77,2,8,6704,2026-01-03,GUSTO PAYROLL 00513920,-3125.34,145132.17,,,2026-02-05 18:52:45.700844-05:00
78,2,8,6704,2026-01-04,NSF FEE,-36.00,145096.17,,,2026-02-05 18:58:08.374799-05:00
79,2,8,6704,2026-01-05,HOME DEPOT PRO 32711538,-6542.38,138553.79,SUPPLIER,OPTISCAN_RULES,2026-02-05 18:54:10.086903-05:00
80,2,8,6704,2026-01-06,ATM WITHDRAWAL ****8990,-8493.04,130060.75,OTHER,MANUAL,2026-02-05 18:53:12.305138-05:00
81,2,8,6704,2026-01-08,SYSCO FOOD SERVICE ****1602,-7841.62,122219.13,SUPPLIER,OPTISCAN_RULES,2026-02-05 18:50:42.998120-05:00
82,2,8,6704,2026-01-09,ACH CREDIT CUSTOMER PMT,10348.84,132567.97,ACH_CREDIT,OPTISCAN_RULES,2026-02-05 18:49:05.688351-05:00
83,2,8,6704,2026-01-11,INSURANCE PREMIUM ACH 55842691,-9365.92,123202.05,,,2026-02-05 18:58:26.330696-05:00
84,2,8,6704,2026-01-12,GUSTO PAYROLL ****2049,-11139.51,112062.54,PAYROLL,OPTISCAN_RULES,2026-02-05 18:52:41.113851-05:00
85,2,8,6704,2026-01-13,STRIPE PAYOUT,21180.62,133243.16,CARD_SETTLEMENT,AI_SERVICE,2026-02-05 19:02:38.286978-05:00
86,2,8,6704,2026-01-14,DUKE ENERGY BILLPAY,-5473.70,127769.46,,,2026-02-05 18:55:13.956120-05:00
87,2,8,6704,2026-01-16,SQUARE INC          DEPOSIT,14689.56,142459.02,CARD_SETTLEMENT,MANUAL,2026-02-05 18:51:41.291011-05:00
88,2,8,6704,2026-01-18,GUSTO PAYROLL,-4855.26,137603.76,PAYROLL,OPTISCAN_RULES,2026-02-05 18:51:41.726104-05:00
89,2,8,6704,2026-01-19,GUSTO PAYROLL,-2792.59,134811.17,PAYROLL,OPTISCAN_RULES,2026-02-05 18:51:15.080342-05:00
90,2,8,6704,2026-01-21,SQUARE INC          DEPOSIT,23466.19,158277.36,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-05 18:49:51.668485-05:00
91,2,8,6704,2026-01-22,TOAST POS SETTLEMENT,6367.66,164645.02,,,2026-02-05 19:01:35.886825-05:00
92,2,8,6704,2026-01-23,COMMERCIAL RENT ACH,-9174.17,155470.85,RENT,OPTISCAN_RULES,2026-02-05 19:01:11.645223-05:00
93,2,8,6704,2026-01-24,ACH CREDIT CUSTOMER PMT ****0226,24055.35,179526.20,ACH_CREDIT,OPTISCAN_RULES,2026-02-05 19:02:03.948297-05:00
94,2,8,6704,2026-01-25,DUKE ENERGY BILLPAY 41947340,-3666.33,175859.87,UTILITIES,OPTISCAN_RULES,2026-02-05 18:59:44.492313-05:00
95,2,8,6704,2026-01-27,US FOODS ACH DEBIT,-1748.46,174111.41,SUPPLIER,OPTISCAN_RULES,2026-02-05 19:02:40.023254-05:00
96,2,8,6704,2026-01-29,COMMERCIAL RENT ACH 04934924,-2968.34,171143.07,RENT,OPTISCAN_RULES,2026-02-05 18:59:38.080289-05:00
97,2,8,6704,2026-01-30,DUKE ENERGY BILLPAY 56205478,-3163.10,167979.97,UTILITIES,OPTISCAN_RULES,2026-02-05 18:48:39.770803-05:00
98,3,12,2354,2026-01-18,TOAST POS SETTLEMENT,61981.64,184196.72,,,2026-02-25 11:08:07.392027-05:00
99,3,12,2354,2026-01-19,SYSCO FOOD SERVICE,-20951.50,163245.22,SUPPLIER,OPTISCAN_RULES,2026-02-25 11:07:04.473083-05:00
100,3,12,2354,2026-01-21,ACH CREDIT CUSTOMER PMT,26920.81,190166.03,,,2026-02-25 10:58:32.943820-05:00
101,3,12,2354,2026-01-23,US FOODS ACH DEBIT,-12428.41,177737.62,,,2026-02-25 10:50:59.985675-05:00
102,3,12,2354,2026-01-24,MERCHANT BANKCD DEP,30878.81,208616.43,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 11:08:55.464319-05:00
103,3,12,2354,2026-01-27,US FOODS ACH DEBIT 07533427,-30467.03,178149.40,,,2026-02-25 11:04:02.306868-05:00
104,3,12,2354,2026-02-01,US FOODS ACH DEBIT,-16257.62,161891.78,,,2026-02-25 10:54:02.849780-05:00
105,3,12,2354,2026-02-02,US FOODS ACH DEBIT,-3278.85,158612.93,SUPPLIER,OPTISCAN_RULES,2026-02-25 10:53:05.261450-05:00
106,3,12,2354,2026-02-03,SQUARE INC          DEPOSIT ****1748,25341.30,183954.23,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 10:57:26.384758-05:00
107,3,12,2354,2026-02-04,DUKE ENERGY BILLPAY,-9564.55,174389.68,UTILITIES,OPTISCAN_RULES,2026-02-25 11:01:37.367704-05:00
108,3,12,2354,2026-02-05,SHOPIFY PAYMENTS PAYOUT,66855.87,241245.55,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 10:52:53.585595-05:00
109,3,12,2354,2026-02-06,amex settlement,10592.73,251838.28,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 11:02:27.612839-05:00
110,3,12,2354,2026-02-08,DUKE ENERGY BILLPAY,-21472.19,230366.09,UTILITIES,OPTISCAN_RULES,2026-02-25 11:04:01.440970-05:00
111,3,12,2354,2026-02-09,NSF FEE,-36.00,230330.09,FEE,OPTISCAN_RULES,2026-02-25 11:05:09.717133-05:00
112,3,12,2354,2026-02-10,vendor check 1042,-6645.68,223684.41,SUPPLIER,OPTISCAN_RULES,2026-02-25 10:56:59.094821-05:00
113,3,12,2354,2026-02-11,toast pos settlement,6357.84,230042.25,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 11:02:32.304741-05:00
114,3,12,2354,2026-02-12,SQUARE INC          DEPOSIT 05393265,49094.28,279136.53,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-25 11:04:10.469598-05:00
115,3,12,2354,2026-02-13,SQUARE INC          DEPOSIT,13537.20,292673.73,,,2026-02-25 10:56:58.170709-05:00
116,3,12,2354,2026-02-14,SYSCO FOOD SERVICE,-1500.50,291173.23,,,2026-02-25 10:54:39.027763-05:00
117,4,15,7494,2026-01-04,STRIPE PAYOUT   ,14315.20,152489.87,CARD_SETTLEMENT,MANUAL,2026-02-09 06:35:52.379654-05:00
118,4,15,7494,2026-01-06,NSF FEE 22574547,-29.00,152460.87,FEE,OPTISCAN_RULES,2026-02-09 06:39:11.868410-05:00
119,4,15,7494,2026-01-07,GUSTO PAYROLL 26372431,-5262.20,147198.67,PAYROLL,OPTISCAN_RULES,2026-02-09 06:35:35.005109-05:00
120,4,15,7494,2026-01-10,ACH CREDIT CUSTOMER PMT,8309.35,155508.02,,,2026-02-09 06:30:36.418294-05:00
121,4,15,7494,2026-01-11,STRIPE PAYOUT 31032478,13005.57,168513.59,,,2026-02-09 06:40:01.742718-05:00
122,4,15,7494,2026-01-12,ADP PAYROLL FEES ****4568,-9588.09,158925.50,PAYROLL,OPTISCAN_RULES,2026-02-09 06:37:46.078870-05:00
123,4,15,7494,2026-01-13,GUSTO PAYROLL ****4821,-852.53,158072.97,PAYROLL,OPTISCAN_RULES,2026-02-09 06:29:30.607897-05:00
124,4,15,7494,2026-01-14,OVERDRAFT ITEM FEE,-29.00,158043.97,,,2026-02-09 06:29:40.313090-05:00
125,4,15,7494,2026-01-15,DUKE ENERGY BILLPAY 02431060,-1961.09,156082.88,,,2026-02-09 06:25:37.873447-05:00
126,4,15,7494,2026-01-16,INSURANCE PREMIUM ACH,-12461.76,143621.12,INSURANCE,OPTISCAN_RULES,2026-02-09 06:27:46.886697-05:00
127,4,15,7494,2026-01-17,ACH CREDIT CUSTOMER PMT 39440110,22559.29,166180.41,ACH_CREDIT,OPTISCAN_RULES,2026-02-09 06:27:25.514619-05:00
128,4,15,7494,2026-01-18,WIRE IN REF 8841 57284079,5829.39,172009.80,WIRE_IN,OPTISCAN_RULES,2026-02-09 06:35:30.210376-05:00
129,4,15,7494,2026-01-19,COMMERCIAL RENT ACH,-4655.30,167354.50,,,2026-02-09 06:26:16.673516-05:00
130,4,15,7494,2026-01-20,SYSCO FOOD SERVICE,-12975.11,154379.39,,,2026-02-09 06:35:22.178346-05:00
131,4,15,7494,2026-01-21,overdraft item fee,-35.00,154344.39,FEE,AI_SERVICE,2026-02-09 06:33:44.591003-05:00
132,4,15,7494,2026-01-22,STATE TAX PAYMENT,-1613.92,152730.47,TAX,MANUAL,2026-02-09 06:40:20.667289-05:00
133,4,15,7494,2026-01-23,COMMERCIAL RENT ACH,-13497.05,139233.42,RENT,OPTISCAN_RULES,2026-02-09 06:23:31.166825-05:00
134,4,15,7494,2026-01-24,ACH CREDIT CUSTOMER PMT,1615.44,140848.86,ACH_CREDIT,OPTISCAN_RULES,2026-02-09 06:34:27.015572-05:00
135,4,15,7494,2026-01-25,STRIPE PAYOUT,13284.95,154133.81,,,2026-02-09 06:39:06.027043-05:00
136,4,15,7494,2026-01-26,GUSTO PAYROLL ****6258,-6267.23,147866.58,PAYROLL,OPTISCAN_RULES,2026-02-09 06:30:46.647002-05:00
137,4,15,7494,2026-01-28,COMMERCIAL RENT ACH 07377058,-13087.88,134778.70,,,2026-02-09 06:34:06.881327-05:00
138,4,15,7494,2026-01-29,GUSTO PAYROLL 96852641,-7308.78,127469.92,PAYROLL,OPTISCAN_RULES,2026-02-09 06:22:40.353907-05:00
139,4,15,7494,2026-01-30,HOME DEPOT PRO   ,-9542.44,117927.48,SUPPLIER,MANUAL,2026-02-09 06:34:16.287188-05:00
140,4,15,7494,2026-01-31,SYSCO FOOD SERVICE ****6521,-7758.64,110168.84,,,2026-02-09 06:28:28.477155-05:00
141,4,15,7494,2026-02-01,TOAST POS SETTLEMENT,1965.27,112134.11,CARD_SETTLEMENT,MANUAL,2026-02-09 06:37:37.463244-05:00
142,4,16,8630,2025-12-31,DUKE ENERGY BILLPAY 25204302,-10223.22,151562.13,,,2026-02-09 22:07:10.829210-05:00
143,4,16,8630,2026-01-01,SYSCO FOOD SERVICE,-4753.97,146808.16,,,2026-02-09 22:09:01.743279-05:00
144,4,16,8630,2026-01-02,DUKE ENERGY BILLPAY   ,-10850.60,135957.56,,,2026-02-09 22:12:07.723820-05:00
145,4,16,8630,2026-01-03,GUSTO PAYROLL   ,-3180.13,132777.43,,,2026-02-09 22:12:19.915887-05:00
146,4,16,8630,2026-01-04,STRIPE PAYOUT,18453.59,151231.02,,,2026-02-09 22:13:53.988112-05:00
147,4,16,8630,2026-01-06,gusto payroll,-10264.81,140966.21,,,2026-02-09 22:19:11.424682-05:00
148,4,16,8630,2026-01-07,shopify payments payout,9710.65,150676.86,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-09 22:20:17.851386-05:00
149,4,16,8630,2026-01-09,VENDOR CHECK 1042,-5905.08,144771.78,SUPPLIER,OPTISCAN_RULES,2026-02-09 22:14:35.969482-05:00
150,4,16,8630,2026-01-10,MERCHANT BANKCD DEP,14974.69,159746.47,,,2026-02-09 22:04:39.109391-05:00
151,4,16,8630,2026-01-12,SYSCO FOOD SERVICE 34707759,-9932.26,149814.21,SUPPLIER,OPTISCAN_RULES,2026-02-09 22:04:27.152406-05:00
152,4,16,8630,2026-01-13,INSURANCE PREMIUM ACH,-12635.24,137178.97,,,2026-02-09 22:06:40.376417-05:00
153,4,16,8630,2026-01-14,ATM WITHDRAWAL 56731368,-4567.01,132611.96,OTHER,AI_SERVICE,2026-02-09 22:18:33.264043-05:00
154,4,16,8630,2026-01-15,DUKE ENERGY BILLPAY,-7190.88,125421.08,,,2026-02-09 22:14:47.456841-05:00
155,4,16,8630,2026-01-16,OVERDRAFT ITEM FEE,-35.00,125386.08,FEE,MANUAL,2026-02-09 22:20:47.335261-05:00
156,4,16,8630,2026-01-17,stripe payout,13534.94,138921.02,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-09 22:04:56.217816-05:00
157,4,16,8630,2026-01-19,GUSTO PAYROLL,-8434.97,130486.05,PAYROLL,AI_SERVICE,2026-02-09 22:14:35.891256-05:00
158,4,16,8630,2026-01-20,TOAST POS SETTLEMENT 72323789,22162.39,152648.44,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-09 22:03:08.165286-05:00
159,4,16,8630,2026-01-21,ONLINE TRANSFER FROM SAV 8842,26039.78,178688.22,INTERNAL_TRANSFER,MANUAL,2026-02-09 22:08:27.596788-05:00
160,4,16,8630,2026-01-22,WIRE IN REF 8841,1021.43,179709.65,,,2026-02-09 22:06:48.720734-05:00
161,4,16,8630,2026-01-23,STRIPE PAYOUT,3803.15,183512.80,CARD_SETTLEMENT,AI_SERVICE,2026-02-09 22:20:03.586012-05:00
162,4,16,8630,2026-01-24,SQUARE INC          DEPOSIT 72026814,4249.81,187762.61,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-09 22:14:48.409136-05:00
163,4,16,8630,2026-01-25,GUSTO PAYROLL,-6474.34,181288.27,PAYROLL,MANUAL,2026-02-09 22:05:39.850616-05:00
164,4,16,8630,2026-01-26,COMMERCIAL RENT ACH 33572370,-1444.26,179844.01,RENT,AI_SERVICE,2026-02-09 22:17:32.212388-05:00
165,4,16,8630,2026-01-27,COMMERCIAL RENT ACH 91622400,-8802.95,171041.06,RENT,OPTISCAN_RULES,2026-02-09 22:13:04.911857-05:00
166,4,16,8630,2026-01-28,ACH CREDIT CUSTOMER PMT ****9763,13666.97,184708.03,ACH_CREDIT,OPTISCAN_RULES,2026-02-09 22:02:22.992184-05:00
167,4,16,8630,2026-01-29,ACH CREDIT CUSTOMER PMT 56977896,8111.43,192819.46,ACH_CREDIT,OPTISCAN_RULES,2026-02-09 22:08:27.000949-05:00
168,4,17,8710,2026-01-04,HOME DEPOT PRO,-2643.86,166592.49,,,2026-02-10 00:39:04.174950-05:00
169,4,17,8710,2026-01-05,SQUARE INC          DEPOSIT,12573.76,179166.25,,,2026-02-10 00:43:56.534062-05:00
170,4,17,8710,2026-01-07,US FOODS ACH DEBIT,-7427.42,171738.83,SUPPLIER,MANUAL,2026-02-10 00:43:48.116543-05:00
171,4,17,8710,2026-01-08,STRIPE PAYOUT 84859294,10727.82,182466.65,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-10 00:41:14.321088-05:00
172,4,17,8710,2026-01-09,DUKE ENERGY BILLPAY   ,-1539.19,180927.46,UTILITIES,OPTISCAN_RULES,2026-02-10 00:52:55.821996-05:00
173,4,17,8710,2026-01-10,COMMERCIAL RENT ACH,-10297.37,170630.09,RENT,OPTISCAN_RULES,2026-02-10 00:54:31.954835-05:00
174,4,17,8710,2026-01-11,REMOTE DEPOSIT CAPTURE,22131.28,192761.37,,,2026-02-10 00:49:02.658695-05:00
175,4,17,8710,2026-01-12,ATM WITHDRAWAL ****6242,-766.75,191994.62,OTHER,OPTISCAN_RULES,2026-02-10 00:47:20.927171-05:00
176,4,17,8710,2026-01-13,STATE TAX PAYMENT 56491821,-672.44,191322.18,,,2026-02-10 00:55:16.234383-05:00
177,4,17,8710,2026-01-15,SYSCO FOOD SERVICE,-5341.97,185980.21,SUPPLIER,MANUAL,2026-02-10 00:42:09.791812-05:00
178,4,17,8710,2026-01-16,SQUARE INC          DEPOSIT 97720877,18807.87,204788.08,,,2026-02-10 00:42:30.342341-05:00
179,4,17,8710,2026-01-17,DUKE ENERGY BILLPAY,-7397.03,197391.05,,,2026-02-10 00:45:11.706661-05:00
180,4,17,8710,2026-01-19,WIRE IN REF 8841,24306.56,221697.61,,,2026-02-10 00:49:16.385208-05:00
181,4,17,8710,2026-01-20,HOME DEPOT PRO 31515399,-7052.79,214644.82,SUPPLIER,OPTISCAN_RULES,2026-02-10 00:46:58.040630-05:00
182,4,17,8710,2026-01-21,GUSTO PAYROLL,-9870.93,204773.89,,,2026-02-10 00:44:59.564822-05:00
183,4,17,8710,2026-01-23,DUKE ENERGY BILLPAY,-5745.83,199028.06,UTILITIES,OPTISCAN_RULES,2026-02-10 00:53:42.023445-05:00
184,4,17,8710,2026-01-24,DUKE ENERGY BILLPAY 95069943,-6448.26,192579.80,,,2026-02-10 00:49:09.021796-05:00
185,4,17,8710,2026-01-25,SBA LOAN PAYMENT,-3203.92,189375.88,DEBT_SERVICE,OPTISCAN_RULES,2026-02-10 00:41:17.751502-05:00
186,4,17,8710,2026-01-26,us foods ach debit,-4259.21,185116.67,SUPPLIER,OPTISCAN_RULES,2026-02-10 00:39:47.346398-05:00
