decision_id,application_id,outcome,approved_amount,rate_apr,term_months,reason_codes,decided_by,policy_version,monthly_revenue_used,dscr,decided_at,created_at
73,85,DECLINED,,,,"NSF_ACTIVITY,CREDIT_SCORE",a.castellanos,credit-policy-2025,62042.84,1.518,2026-02-07 17:23:10.051517-05:00,2026-02-07 17:23:19.364544-05:00
74,86,DECLINED,,,,INDUSTRY_RESTRICTED,j.beaumont,credit-policy-FINAL2,477372.98,1.152,2026-02-16 10:24:55.240641-05:00,2026-02-16 10:24:58.442489-05:00
75,87,DECLINED,,,,"DSCR_BELOW_MIN,STACKED_DEBT,REVENUE_BELOW_MIN,NSF_ACTIVITY",t.rivas,credit-policy-2025,251272.52,2.308,2026-02-26 03:14:04.527211-05:00,2026-02-26 03:14:14.865901-05:00
76,88,COUNTER_OFFER,60000.00,13.084,48,"POLICY_EXCEPTION_APPROVED, MANUAL_OVERRIDE_RB, TIB_OK",t.rivas,credit-policy-2025,184077.34,2.806,2026-02-08 10:53:50.806591-05:00,2026-02-08 10:53:59.595068-05:00
77,90,DECLINED,,,,INDUSTRY_RESTRICTED,renee.blackwell,credit-policy-2025,197683.50,0.798,2026-02-13 23:18:37.274332-05:00,2026-02-13 23:19:05.745790-05:00
78,91,APPROVED,105000.00,8.968,36,"TIB_OK,REVENUE_VERIFIED",m.okonkwo,credit-policy-2025,404021.04,1.457,2026-02-13 06:17:06.745295-05:00,2026-02-13 06:17:34.952238-05:00
79,92,DECLINED,,,,"DSCR_BELOW_MIN, NSF_ACTIVITY, UNVERIFIED_REVENUE",a.castellanos,credit-policy-2025,71628.77,2.92,2026-03-01 02:24:05.130834-05:00,2026-03-01 02:24:14.567607-05:00
80,93,APPROVED,77000.00,22.738,24,"COLLATERAL_OK,DSCR_OK",s.whitfield,credit-policy-2025,82334.95,2.447,2026-02-14 23:03:04.757135-05:00,2026-02-14 23:03:07.338259-05:00
81,94,APPROVED,76500.00,28.796,36,REVENUE_VERIFIED,c.obrien,credit-policy-2025,100657.33,1.542,2026-02-18 13:29:02.410631-05:00,2026-02-18 13:29:19.089386-05:00
82,95,DECLINED,,,,EXISTING_DEBT,k.abernathy,credit-policy-FINAL2,1266536.85,2.929,2026-02-12 04:54:44.582953-05:00,2026-02-12 04:54:58.434684-05:00
83,97,APPROVED,97750.00,15.49,60,"TIB_OK,REVENUE_VERIFIED",s.whitfield,credit-policy-2025,239130.91,1.339,2026-02-11 05:16:19.757158-05:00,2026-02-11 05:16:40.300224-05:00
84,98,DECLINED,,,,"REVENUE_BELOW_MIN,TIME_IN_BUSINESS",l.nakamura,credit-policy-2024,128893.83,1.424,2026-02-20 18:11:05.113134-05:00,2026-02-20 18:11:25.393017-05:00
85,99,APPROVED,157500.00,24.464,84,MANUAL_OVERRIDE_RB,p.deshmukh,credit-policy-2025,200821.49,2.672,2026-02-15 20:10:01.954098-05:00,2026-02-15 20:10:19.189762-05:00
86,100,APPROVED,155000.00,21.63,84,"CREDIT_OK,REVENUE_VERIFIED,MANUAL_OVERRIDE_RB",j.beaumont,credit-policy-FINAL2,252855.13,0.723,2026-02-28 06:39:49.514358-05:00,2026-02-28 06:40:09.811163-05:00
87,101,COUNTER_OFFER,1321750.00,15.779,48,"COLLATERAL_OK, TIB_OK",k.abernathy,credit-policy-2024,2017493.87,1.838,2026-02-04 15:59:25.458894-05:00,2026-02-04 15:59:40.084092-05:00
88,102,APPROVED,220000.00,22.582,24,"REVENUE_VERIFIED,TIB_OK,CREDIT_OK",renee.blackwell,credit-policy-2025,1007918.94,1.241,2026-02-14 10:53:38.446586-05:00,2026-02-14 10:53:43.291514-05:00
89,103,APPROVED,51000.00,8.488,60,"POLICY_EXCEPTION_APPROVED,TIB_OK",renee.blackwell,credit-policy-2025,96800.19,2.794,2026-02-19 01:06:45.246153-05:00,2026-02-19 01:07:08.751016-05:00
90,104,APPROVED,486500.00,15.248,12,CREDIT_OK,renee.blackwell,credit-policy-2025,2216125.98,2.163,2026-02-07 21:58:26.519277-05:00,2026-02-07 21:58:33.862967-05:00
91,106,DECLINED,,,,"NSF_ACTIVITY,CREDIT_SCORE,COLLATERAL_SHORTFALL",j.beaumont,credit-policy-2024,2657222.86,3.295,2026-02-06 23:27:34.456948-05:00,2026-02-06 23:27:50.548706-05:00
92,107,APPROVED,130000.00,20.128,48,"COLLATERAL_OK,REVENUE_VERIFIED",k.abernathy,credit-policy-2025,231063.17,1.838,2026-02-18 02:37:37.126445-05:00,2026-02-18 02:37:59.457228-05:00
93,108,APPROVED,360000.00,11.187,24,REVENUE_VERIFIED,t.rivas,credit-policy-2025,202069.52,2.382,2026-02-08 03:22:48.982208-05:00,2026-02-08 03:22:50.769634-05:00
94,109,DECLINED,,,,STACKED_DEBT,renee.blackwell,credit-policy-FINAL2,3098717.25,1.414,2026-02-06 22:28:25.618202-05:00,2026-02-06 22:28:43.462816-05:00
95,110,DECLINED,,,,"TIME_IN_BUSINESS,STACKED_DEBT,INDUSTRY_RESTRICTED",m.okonkwo,credit-policy-2024,1259423.89,3.388,2026-02-08 23:43:28.553954-05:00,2026-02-08 23:43:38.889553-05:00
96,111,COUNTER_OFFER,80000.00,20.058,84,"MANUAL_OVERRIDE_RB, DSCR_OK",m.okonkwo,credit-policy-2024,394957.06,2.219,2026-02-08 12:25:27.597470-05:00,2026-02-08 12:25:33.040980-05:00
97,113,DECLINED,,,,"INDUSTRY_RESTRICTED,COLLATERAL_SHORTFALL,NSF_ACTIVITY,EXISTING_DEBT",l.nakamura,credit-policy-2025,740693.12,2.286,2026-02-17 17:04:06.591942-05:00,2026-02-17 17:04:21.785904-05:00
98,114,DECLINED,,,,"DSCR_BELOW_MIN,COLLATERAL_SHORTFALL,CREDIT_SCORE,TIME_IN_BUSINESS",c.obrien,credit-policy-2025,171591.07,2.896,2026-02-13 15:13:50.215302-05:00,2026-02-13 15:13:57.565997-05:00
99,115,COUNTER_OFFER,479500.00,13.668,12,"MANUAL_OVERRIDE_RB,CREDIT_OK,TIB_OK",m.okonkwo,credit-policy-FINAL2,882605.36,1.16,2026-02-14 09:51:04.477932-05:00,2026-02-14 09:51:29.865442-05:00
100,117,APPROVED,21700.00,12.594,48,"POLICY_EXCEPTION_APPROVED,DSCR_OK",k.abernathy,credit-policy-FINAL2,69325.56,2.87,2026-02-19 10:38:36.086999-05:00,2026-02-19 10:38:45.833313-05:00
101,118,APPROVED,94500.00,23.054,36,"POLICY_EXCEPTION_APPROVED,CREDIT_OK,COLLATERAL_OK",l.nakamura,credit-policy-FINAL2,444377.80,3.057,2026-02-10 12:22:07.153163-05:00,2026-02-10 12:22:11.916344-05:00
102,120,APPROVED,44000.00,24.505,36,MANUAL_OVERRIDE_RB,s.whitfield,credit-policy-2024,167250.87,3.245,2026-02-06 10:48:14.922913-05:00,2026-02-06 10:48:36.776501-05:00
103,123,DECLINED,,,,,renee.blackwell,credit-policy-FINAL2,635504.24,1.427,2026-02-12 16:10:22.876199-05:00,2026-02-12 16:10:31.079680-05:00
104,125,APPROVED,175000.00,16.034,48,COLLATERAL_OK,l.nakamura,credit-policy-2025,246069.54,1.452,2026-02-20 03:34:18.208569-05:00,2026-02-20 03:34:47.186801-05:00
105,126,APPROVED,340000.00,24.366,48,"REVENUE_VERIFIED,TIB_OK",renee.blackwell,credit-policy-FINAL2,395753.29,1.742,2026-02-08 20:14:04.642388-05:00,2026-02-08 20:14:20.674738-05:00
106,127,APPROVED,340000.00,23.972,84,"DSCR_OK,COLLATERAL_OK",t.rivas,credit-policy-FINAL2,921946.62,1.965,2026-02-07 09:04:47.925315-05:00,2026-02-07 09:05:00.184737-05:00
107,128,DECLINED,,,,"UNVERIFIED_REVENUE, INDUSTRY_RESTRICTED, DSCR_BELOW_MIN",p.deshmukh,credit-policy-FINAL2,1093073.80,1.773,2026-02-18 05:56:32.239710-05:00,2026-02-18 05:56:51.131206-05:00
108,129,DECLINED,,,,"EXISTING_DEBT,NSF_ACTIVITY,UNVERIFIED_REVENUE,STACKED_DEBT",c.obrien,credit-policy-2024,453653.43,2.521,2026-02-15 16:45:46.878027-05:00,2026-02-15 16:46:03.783185-05:00
109,130,DECLINED,,,,"STACKED_DEBT,INDUSTRY_RESTRICTED,TIME_IN_BUSINESS",s.whitfield,credit-policy-2025,94315.66,1.227,2026-02-10 19:01:24.759015-05:00,2026-02-10 19:01:43.021826-05:00
110,131,DECLINED,,,,"EXISTING_DEBT,REVENUE_BELOW_MIN",a.castellanos,credit-policy-2025,205324.19,1.106,2026-02-14 09:17:07.856225-05:00,2026-02-14 09:17:09.046033-05:00
111,132,APPROVED,310250.00,16.201,60,REVENUE_VERIFIED,m.okonkwo,credit-policy-2024,925172.46,2.553,2026-02-15 14:46:22.217968-05:00,2026-02-15 14:46:43.438095-05:00
112,133,APPROVED,85000.00,12.018,60,"MANUAL_OVERRIDE_RB,CREDIT_OK",p.deshmukh,credit-policy-2025,102642.10,2.787,2026-02-10 11:16:33.349371-05:00,2026-02-10 11:16:44.446802-05:00
113,138,COUNTER_OFFER,33000.00,12.868,48,MANUAL_OVERRIDE_RB,l.nakamura,credit-policy-2025,152668.07,2.316,2026-02-19 02:30:05.525703-05:00,2026-02-19 02:30:13.148114-05:00
114,139,DECLINED,,,,"EXISTING_DEBT,UNVERIFIED_REVENUE,TIME_IN_BUSINESS",t.rivas,credit-policy-2024,88080.64,0.962,2026-02-13 04:58:15.139108-05:00,2026-02-13 04:58:18.849727-05:00
115,140,APPROVED,112000.00,24.421,36,"CREDIT_OK,MANUAL_OVERRIDE_RB,POLICY_EXCEPTION_APPROVED",s.whitfield,credit-policy-2025,263120.48,2.604,2026-02-11 12:20:29.710590-05:00,2026-02-11 12:20:50.266811-05:00
116,141,DECLINED,,,,"REVENUE_BELOW_MIN,NSF_ACTIVITY,STACKED_DEBT",j.beaumont,credit-policy-2024,52685.78,2.72,2026-02-11 17:13:15.167266-05:00,2026-02-11 17:13:36.281199-05:00
117,143,APPROVED,69000.00,22.535,48,"TIB_OK,POLICY_EXCEPTION_APPROVED",k.abernathy,credit-policy-2025,145167.19,2.412,2026-02-08 02:07:17.480440-05:00,2026-02-08 02:07:21.623317-05:00
118,144,APPROVED,25200.00,21.803,12,"TIB_OK,REVENUE_VERIFIED,",l.nakamura,credit-policy-2025,73945.00,2.904,2026-02-19 16:53:47.553276-05:00,2026-02-19 16:54:11.578990-05:00
119,145,DECLINED,,,,"DSCR_BELOW_MIN,TIME_IN_BUSINESS,UNVERIFIED_REVENUE",renee.blackwell,credit-policy-2024,119095.56,3.186,2026-02-05 23:44:06.256695-05:00,2026-02-05 23:44:14.274561-05:00
120,146,APPROVED,51850.00,16.14,24,REVENUE_VERIFIED,k.abernathy,credit-policy-FINAL2,55630.56,0.836,2026-03-03 18:23:00.848161-05:00,2026-03-03 18:23:15.706631-05:00
121,147,APPROVED,57000.00,8.877,36,,d.pham,credit-policy-2025,133277.25,1.605,2026-02-09 13:04:04.184218-05:00,2026-02-09 13:04:08.707566-05:00
122,148,APPROVED,37000.00,10.056,84,"TIB_OK,MANUAL_OVERRIDE_RB",t.rivas,credit-policy-FINAL2,85393.94,3.349,2026-03-07 16:34:30.020511-05:00,2026-03-07 16:34:59.775852-05:00
123,149,APPROVED,2100000.00,27.244,24,"DSCR_OK,REVENUE_VERIFIED",renee.blackwell,credit-policy-FINAL2,1287076.49,3.297,2026-02-08 12:26:59.016202-05:00,2026-02-08 12:27:00.672749-05:00
